Frequency (Hz)	Level (dB)
0.976562	-69.071922
1.953125	-67.904205
2.929688	-66.729134
3.906250	-62.828548
4.882812	-60.496414
5.859375	-62.156437
6.835938	-62.766518
7.812500	-60.714069
8.789062	-62.079281
9.765625	-62.005894
10.742188	-62.230499
11.718750	-62.380821
12.695312	-62.245762
13.671875	-61.995697
14.648438	-62.087688
15.625000	-62.409653
16.601562	-62.591267
17.578125	-62.519176
18.554688	-62.408085
19.531250	-62.299511
20.507812	-62.506886
21.484375	-57.595093
22.460938	-63.251472
23.437500	-64.128403
24.414062	-65.517624
25.390625	-67.588715
26.367188	-68.838959
27.343750	-71.384689
28.320312	-71.930649
29.296875	-72.735077
30.273438	-73.232140
31.250000	-73.051384
32.226562	-73.688087
33.203125	-73.584335
34.179688	-74.897392
35.156250	-75.059509
36.132812	-75.456856
37.109375	-76.362968
38.085938	-76.643227
39.062500	-77.414749
40.039062	-77.741173
41.015625	-77.586205
41.992188	-75.622292
42.968750	-72.137589
43.945312	-71.056801
44.921875	-75.746826
45.898438	-75.672920
46.875000	-76.306465
47.851562	-76.504227
48.828125	-77.020691
49.804688	-77.836578
50.781250	-78.240593
51.757812	-78.931259
52.734375	-79.490112
53.710938	-79.765526
54.687500	-80.243614
55.664062	-80.689209
56.640625	-81.161964
57.617188	-81.217468
58.593750	-81.933640
59.570312	-82.630989
60.546875	-82.195908
61.523438	-82.819649
62.500000	-82.209000
63.476562	-82.618454
64.453125	-82.074471
65.429688	-74.299835
66.406250	-82.112434
67.382812	-82.235680
68.359375	-82.646805
69.335938	-81.887833
70.312500	-82.708900
71.289062	-83.753448
72.265625	-83.032135
73.242188	-82.385353
74.218750	-82.410973
75.195312	-82.595985
76.171875	-82.301788
77.148438	-81.320152
78.125000	-80.252670
79.101562	-79.423431
80.078125	-78.958260
81.054688	-79.328217
82.031250	-81.154930
83.007812	-83.231697
83.984375	-85.047569
84.960938	-85.163162
85.937500	-85.819733
86.914062	-84.160553
87.890625	-85.021309
88.867188	-86.087479
89.843750	-86.176521
90.820312	-85.688705
91.796875	-86.505814
92.773438	-86.600975
93.750000	-85.418274
94.726562	-85.780365
95.703125	-86.620834
96.679688	-86.877548
97.656250	-86.304680
98.632812	-85.361389
99.609375	-83.040237
100.585938	-82.170723
101.562500	-83.266464
102.539062	-84.745644
103.515625	-85.301605
104.492188	-84.790459
105.468750	-83.638115
106.445312	-82.270485
107.421875	-83.078888
108.398438	-85.012886
109.375000	-84.300415
110.351562	-86.814438
