Frequency (Hz)	Level (dB)
0.976562	-68.176643
1.953125	-69.048149
2.929688	-66.690834
3.906250	-58.047005
4.882812	-62.863991
5.859375	-63.911839
6.835938	-63.169998
7.812500	-56.317406
8.789062	-62.909779
9.765625	-64.653564
10.742188	-61.796844
11.718750	-56.687714
12.695312	-63.342869
13.671875	-67.146019
14.648438	-64.837372
15.625000	-61.390045
16.601562	-65.211304
17.578125	-67.777565
18.554688	-63.790539
19.531250	-62.548031
20.507812	-65.197495
21.484375	-56.373196
22.460938	-63.248878
23.437500	-62.863682
24.414062	-65.822632
25.390625	-70.108086
26.367188	-66.497704
27.343750	-63.608192
28.320312	-63.902466
29.296875	-67.909248
30.273438	-66.610283
31.250000	-64.491814
32.226562	-65.865395
33.203125	-69.327118
34.179688	-67.846848
35.156250	-66.541054
36.132812	-67.906509
37.109375	-69.515251
38.085938	-69.705238
39.062500	-69.060638
40.039062	-70.403481
41.015625	-69.500191
41.992188	-70.334686
42.968750	-67.759575
43.945312	-69.983696
44.921875	-69.920929
45.898438	-70.120621
46.875000	-69.279442
47.851562	-71.137886
48.828125	-70.560516
49.804688	-71.349640
50.781250	-71.613136
51.757812	-71.472717
52.734375	-71.060150
53.710938	-71.000244
54.687500	-70.224136
55.664062	-71.359222
56.640625	-70.631027
57.617188	-71.838699
58.593750	-71.468224
59.570312	-72.054726
60.546875	-72.979370
61.523438	-73.725624
62.500000	-73.780045
63.476562	-72.561569
64.453125	-73.848541
65.429688	-72.266968
66.406250	-72.859543
67.382812	-74.054810
68.359375	-72.884239
69.335938	-73.605705
70.312500	-72.627289
71.289062	-73.435265
72.265625	-74.809097
73.242188	-74.265160
74.218750	-74.342102
75.195312	-73.712158
76.171875	-74.584427
77.148438	-74.357597
78.125000	-74.234383
79.101562	-75.099251
80.078125	-74.707558
81.054688	-74.746643
82.031250	-75.105194
83.007812	-74.944649
83.984375	-75.171509
84.960938	-75.488190
85.937500	-73.934822
86.914062	-73.638443
87.890625	-74.830208
88.867188	-74.992081
89.843750	-74.975586
90.820312	-75.506134
91.796875	-75.827919
92.773438	-75.915871
93.750000	-76.430588
94.726562	-76.034988
95.703125	-76.293083
96.679688	-75.970688
97.656250	-75.889038
98.632812	-75.296768
99.609375	-75.382660
100.585938	-75.202011
101.562500	-75.417961
102.539062	-75.241280
103.515625	-75.906624
104.492188	-75.847282
105.468750	-75.756874
