Frequency (Hz)	Level (dB)
0.976562	-55.693432
1.953125	-50.665527
2.929688	-48.700031
3.906250	-46.899044
4.882812	-47.417099
5.859375	-51.478291
6.835938	-50.750744
7.812500	-50.072128
8.789062	-51.371704
9.765625	-51.269001
10.742188	-52.369221
11.718750	-51.535110
12.695312	-51.985390
13.671875	-51.907211
14.648438	-52.256523
15.625000	-52.601826
16.601562	-53.869064
17.578125	-54.590923
18.554688	-53.834854
19.531250	-52.844826
20.507812	-54.675602
21.484375	-56.327709
22.460938	-56.307526
23.437500	-57.148617
24.414062	-59.772354
25.390625	-60.180511
26.367188	-61.320690
27.343750	-61.828255
28.320312	-62.855400
29.296875	-62.874901
30.273438	-63.756653
31.250000	-64.116837
32.226562	-65.570335
33.203125	-65.870583
34.179688	-66.868294
35.156250	-67.436409
36.132812	-67.386513
37.109375	-67.964058
38.085938	-68.203949
39.062500	-67.361359
40.039062	-68.327644
41.015625	-68.629227
41.992188	-69.585579
42.968750	-69.537903
43.945312	-69.403061
44.921875	-70.001183
45.898438	-71.272102
46.875000	-70.683578
47.851562	-71.113167
48.828125	-71.564484
49.804688	-71.693451
50.781250	-72.061501
51.757812	-72.306305
52.734375	-74.036873
53.710938	-73.224236
54.687500	-73.337349
55.664062	-74.264061
56.640625	-74.579170
57.617188	-74.556221
58.593750	-74.864082
59.570312	-75.727196
60.546875	-75.795700
61.523438	-75.699165
62.500000	-76.976578
63.476562	-76.207596
64.453125	-76.866203
65.429688	-76.785271
66.406250	-77.558647
67.382812	-78.103882
68.359375	-77.967415
69.335938	-77.776672
70.312500	-78.466812
71.289062	-78.104874
72.265625	-79.184883
73.242188	-78.190742
74.218750	-78.830421
75.195312	-79.479156
76.171875	-79.171768
77.148438	-78.847527
78.125000	-79.371849
79.101562	-80.124245
80.078125	-79.486313
81.054688	-79.546104
82.031250	-79.998947
83.007812	-79.459923
83.984375	-80.051315
84.960938	-79.439987
85.937500	-80.112740
86.914062	-80.146820
87.890625	-80.869797
88.867188	-81.043526
89.843750	-81.214333
90.820312	-81.077835
91.796875	-80.502197
92.773438	-81.022049
93.750000	-80.479767
94.726562	-79.818085
95.703125	-80.125267
96.679688	-80.048035
97.656250	-79.569870
98.632812	-80.508018
99.609375	-79.566269
100.585938	-79.997749
101.562500	-81.017807
102.539062	-80.321190
103.515625	-80.218094
104.492188	-81.113297
105.468750	-81.540131
106.445312	-80.451439
107.421875	-80.909920
108.398438	-81.805283
109.375000	-81.080330
110.351562	-81.668648
111.328125	-81.432732
112.304688	-82.319138
113.281250	-81.894226
114.257812	-82.839088
115.234375	-82.139931
116.210938	-81.638641
117.187500	-82.068993
118.164062	-82.116310
119.140625	-81.936546
120.117188	-82.038551
121.093750	-81.808929
122.070312	-81.789406
123.046875	-82.481812
124.023438	-81.643547
125.000000	-81.545380
125.976562	-81.305397
126.953125	-81.073204
127.929688	-82.025154
128.906250	-82.292778
129.882812	-81.887131
130.859375	-83.090485
131.835938	-81.463898
132.812500	-79.645226
133.789062	-79.974197
134.765625	-82.420486
135.742188	-82.082680
136.718750	-83.204483
137.695312	-81.316277
138.671875	-82.836525
139.648438	-81.977211
140.625000	-82.833405
141.601562	-82.281479
142.578125	-83.124947
143.554688	-83.125351
144.531250	-83.495483
145.507812	-83.064346
146.484375	-83.155296
147.460938	-82.630219
148.437500	-82.812973
149.414062	-82.281303
150.390625	-82.771828
151.367188	-83.411911
152.343750	-84.016228
153.320312	-83.715416
154.296875	-83.734268
155.273438	-83.915169
156.250000	-84.165154
157.226562	-83.905762
158.203125	-83.644104
159.179688	-84.049156
160.156250	-83.637863
161.132812	-84.701469
162.109375	-85.088425
163.085938	-85.543228
164.062500	-86.018471
165.039062	-85.355354
166.015625	-84.936020
166.992188	-85.184845
167.968750	-85.082909
168.945312	-85.976936
169.921875	-86.924652
170.898438	-85.932640
171.875000	-86.174904
172.851562	-85.510307
173.828125	-86.473656
174.804688	-85.512947
175.781250	-86.661224
176.757812	-85.999916
177.734375	-86.521606
178.710938	-85.797852
179.687500	-86.598923
180.664062	-87.093513
181.640625	-87.586838
182.617188	-88.309288
183.593750	-88.155357
184.570312	-88.222824
185.546875	-87.152405
186.523438	-87.306480
187.500000	-87.448425
188.476562	-87.954613
189.453125	-87.753143
190.429688	-88.520180
191.406250	-87.442581
192.382812	-87.168861
193.359375	-86.762901
194.335938	-87.408691
195.312500	-87.430222
196.289062	-86.444267
197.265625	-86.533432
198.242188	-85.294510
199.218750	-86.287025
200.195312	-86.099770
201.171875	-85.810204
202.148438	-85.840469
203.125000	-86.253769
204.101562	-85.510643
205.078125	-84.919510
206.054688	-84.932426
207.031250	-84.521988
208.007812	-85.046127
208.984375	-85.101036
209.960938	-85.515335
210.937500	-85.013870
211.914062	-84.781593
212.890625	-84.893623
213.867188	-84.554756
214.843750	-83.962845
215.820312	-83.373863
216.796875	-83.379089
217.773438	-83.084717
218.750000	-83.752510
219.726562	-83.452736
220.703125	-82.935921
221.679688	-83.107101
222.656250	-83.654205
223.632812	-83.169243
224.609375	-82.963440
225.585938	-83.231796
226.562500	-82.616257
227.539062	-82.434418
228.515625	-81.873589
229.492188	-81.680519
230.468750	-82.678032
231.445312	-82.566849
232.421875	-81.620247
233.398438	-81.747162
234.375000	-80.268814
235.351562	-80.162880
236.328125	-80.272133
237.304688	-81.019180
238.281250	-80.789024
239.257812	-81.438126
240.234375	-80.911171
241.210938	-81.452240
242.187500	-81.754089
243.164062	-80.981209
244.140625	-81.128952
245.117188	-81.043938
246.093750	-80.669960
247.070312	-81.052788
248.046875	-82.282967
249.023438	-81.975266
250.000000	-83.319344
250.976562	-82.076843
251.953125	-82.032646
252.929688	-82.362770
253.906250	-82.929718
254.882812	-83.200539
255.859375	-82.674660
256.835938	-82.943657
257.812500	-83.336479
258.789062	-83.108017
259.765625	-83.649475
260.742188	-83.376656
261.718750	-82.934639
262.695312	-84.142921
263.671875	-83.978989
264.648438	-83.952606
265.625000	-83.905190
266.601562	-83.567917
267.578125	-84.314507
268.554688	-83.718712
269.531250	-84.554291
270.507812	-84.788643
271.484375	-84.265236
272.460938	-84.502342
273.437500	-84.139748
274.414062	-84.465904
275.390625	-84.672882
276.367188	-84.137474
277.343750	-84.595459
278.320312	-83.822739
279.296875	-84.676315
280.273438	-85.522324
281.250000	-84.858261
282.226562	-85.836334
283.203125	-85.258400
284.179688	-85.212929
285.156250	-84.988068
286.132812	-85.016541
287.109375	-85.708633
288.085938	-86.276527
289.062500	-85.603516
290.039062	-85.562050
291.015625	-85.328629
291.992188	-85.558876
292.968750	-85.406288
293.945312	-84.880150
294.921875	-85.566444
295.898438	-85.234932
296.875000	-85.634972
297.851562	-86.707626
298.828125	-85.452675
299.804688	-85.577316
300.781250	-85.517509
301.757812	-85.681404
302.734375	-85.416710
303.710938	-85.291412
304.687500	-85.708397
305.664062	-85.291412
306.640625	-85.943703
307.617188	-85.775505
308.593750	-85.817085
309.570312	-85.633530
310.546875	-85.702454
311.523438	-85.424385
312.500000	-86.193047
313.476562	-85.208046
314.453125	-85.659035
315.429688	-85.378746
316.406250	-85.788033
317.382812	-85.589424
318.359375	-85.254356
319.335938	-85.468040
320.312500	-85.348221
321.289062	-84.657471
322.265625	-84.963120
323.242188	-84.956261
324.218750	-85.310333
325.195312	-85.007751
326.171875	-85.201675
327.148438	-85.303810
328.125000	-85.468460
329.101562	-84.669289
330.078125	-85.477379
331.054688	-84.737755
332.031250	-84.654274
333.007812	-85.372154
333.984375	-84.193352
334.960938	-84.366722
335.937500	-84.757782
336.914062	-85.544769
337.890625	-85.209763
338.867188	-84.679100
339.843750	-84.519592
340.820312	-83.763557
341.796875	-85.221031
342.773438	-84.723816
343.750000	-83.334702
344.726562	-84.860268
345.703125	-84.725418
346.679688	-84.078888
347.656250	-84.347763
348.632812	-84.463463
349.609375	-84.113358
