Frequency (Hz)	Level (dB)
0.976562	-62.544525
1.953125	-66.528015
2.929688	-66.238594
3.906250	-59.874748
4.882812	-64.290680
5.859375	-67.857483
6.835938	-66.877960
7.812500	-59.319233
8.789062	-63.593025
9.765625	-67.271225
10.742188	-65.364113
11.718750	-59.428928
12.695312	-62.163673
13.671875	-68.620186
14.648438	-66.498756
15.625000	-61.286396
16.601562	-63.560730
17.578125	-69.147957
18.554688	-67.865562
19.531250	-63.718231
20.507812	-64.699310
21.484375	-65.289673
22.460938	-67.731232
23.437500	-64.195862
24.414062	-64.549217
25.390625	-68.110214
26.367188	-68.890701
27.343750	-67.027046
28.320312	-65.940071
29.296875	-68.075172
30.273438	-69.252022
31.250000	-65.917381
32.226562	-66.698524
33.203125	-67.413857
34.179688	-69.222595
35.156250	-67.211571
36.132812	-66.489136
37.109375	-66.626297
38.085938	-69.104851
39.062500	-68.561836
40.039062	-67.852379
41.015625	-66.252579
41.992188	-67.722198
42.968750	-67.997620
43.945312	-67.385254
44.921875	-67.999184
45.898438	-67.925209
46.875000	-68.408714
47.851562	-68.544540
48.828125	-67.792625
49.804688	-68.613297
50.781250	-69.898315
51.757812	-68.520409
52.734375	-67.746971
53.710938	-66.300293
54.687500	-67.839684
55.664062	-68.561409
56.640625	-67.562500
57.617188	-67.453850
58.593750	-68.145332
59.570312	-68.971291
60.546875	-68.483070
61.523438	-68.226280
62.500000	-68.605614
63.476562	-69.018135
64.453125	-69.599648
65.429688	-69.242195
66.406250	-68.319992
67.382812	-68.701118
68.359375	-68.677971
69.335938	-68.212502
70.312500	-67.106529
71.289062	-68.252274
72.265625	-69.967812
73.242188	-68.742508
74.218750	-67.848877
75.195312	-69.025986
76.171875	-68.350014
77.148438	-69.014114
78.125000	-67.161621
79.101562	-67.866776
80.078125	-69.192566
81.054688	-69.878578
82.031250	-68.728882
83.007812	-67.950737
83.984375	-69.131706
84.960938	-70.165138
85.937500	-68.131004
86.914062	-66.766663
87.890625	-68.455200
88.867188	-69.801666
89.843750	-68.588150
90.820312	-68.184875
91.796875	-69.111877
92.773438	-69.881950
93.750000	-69.006653
94.726562	-67.557823
95.703125	-69.544022
96.679688	-70.599037
97.656250	-69.430969
98.632812	-69.853432
99.609375	-68.177849
100.585938	-69.789803
101.562500	-69.610214
102.539062	-69.228210
103.515625	-68.664978
104.492188	-69.836411
105.468750	-69.922920
106.445312	-69.354225
107.421875	-69.017151
108.398438	-70.269836
109.375000	-70.171043
110.351562	-69.403618
111.328125	-68.732002
112.304688	-69.818520
113.281250	-69.641098
114.257812	-69.661041
115.234375	-69.555893
116.210938	-69.561089
117.187500	-70.368263
118.164062	-69.897957
119.140625	-69.494728
120.117188	-70.345398
121.093750	-70.246162
122.070312	-69.521385
123.046875	-69.613586
124.023438	-70.473175
125.000000	-70.546257
125.976562	-70.659096
126.953125	-69.691269
127.929688	-70.583084
128.906250	-70.252159
129.882812	-70.236122
130.859375	-69.670692
131.835938	-69.694962
132.812500	-70.452248
133.789062	-70.013077
134.765625	-70.632027
135.742188	-70.251595
136.718750	-71.241714
137.695312	-70.465157
138.671875	-70.626755
139.648438	-70.180168
140.625000	-70.101555
141.601562	-70.991425
142.578125	-70.575882
143.554688	-70.487930
144.531250	-70.394417
145.507812	-70.100807
146.484375	-70.141731
147.460938	-70.112923
148.437500	-70.797211
149.414062	-70.216965
150.390625	-70.574509
151.367188	-70.512688
152.343750	-70.400360
153.320312	-69.932861
154.296875	-70.351212
155.273438	-69.834526
156.250000	-69.612694
157.226562	-70.167557
158.203125	-70.431282
