Frequency (Hz)	Level (dB)
0.976562	-64.822807
1.953125	-68.969788
2.929688	-67.089256
3.906250	-59.085678
4.882812	-64.939560
5.859375	-68.052856
6.835938	-66.765694
7.812500	-58.326702
8.789062	-65.112373
9.765625	-68.669312
10.742188	-66.841263
11.718750	-60.210846
12.695312	-64.236656
13.671875	-68.587273
14.648438	-67.411110
15.625000	-59.776077
16.601562	-64.815170
17.578125	-69.747345
18.554688	-67.973160
19.531250	-63.178082
20.507812	-64.859207
21.484375	-69.583755
22.460938	-68.279488
23.437500	-64.348305
24.414062	-66.083969
25.390625	-69.520164
26.367188	-66.991676
27.343750	-64.345306
28.320312	-65.222816
29.296875	-69.696243
30.273438	-67.762993
31.250000	-65.137131
32.226562	-65.083328
33.203125	-69.866943
34.179688	-68.841682
35.156250	-66.241943
36.132812	-65.421295
37.109375	-69.434296
38.085938	-69.725998
39.062500	-68.164764
40.039062	-67.723557
41.015625	-70.159424
41.992188	-68.961517
42.968750	-68.322708
43.945312	-66.284454
44.921875	-68.147194
45.898438	-68.806137
46.875000	-67.164963
47.851562	-67.288055
48.828125	-68.739594
49.804688	-68.546562
50.781250	-65.830292
51.757812	-67.564034
52.734375	-68.380302
53.710938	-68.728004
54.687500	-68.477852
55.664062	-68.004784
56.640625	-69.072754
57.617188	-68.803520
58.593750	-68.352509
59.570312	-68.605553
60.546875	-68.219070
61.523438	-67.390877
62.500000	-68.578728
63.476562	-68.388359
64.453125	-68.283226
65.429688	-67.833221
66.406250	-67.510376
67.382812	-67.209892
68.359375	-67.667770
69.335938	-68.120979
70.312500	-68.163391
71.289062	-68.541275
72.265625	-68.785240
73.242188	-67.375633
74.218750	-69.257767
75.195312	-68.777199
76.171875	-69.126495
77.148438	-68.390900
78.125000	-68.165482
79.101562	-68.936913
80.078125	-68.438110
81.054688	-67.635429
82.031250	-68.235535
83.007812	-67.799156
83.984375	-68.163788
84.960938	-68.255081
85.937500	-68.383522
86.914062	-68.871483
87.890625	-68.075058
88.867188	-69.378143
89.843750	-68.463104
90.820312	-68.830818
91.796875	-69.337914
92.773438	-68.820915
93.750000	-68.565231
94.726562	-69.725830
95.703125	-69.356567
96.679688	-68.403328
97.656250	-68.813362
98.632812	-69.124352
99.609375	-68.722702
100.585938	-68.774750
101.562500	-69.214005
102.539062	-68.496422
103.515625	-67.965126
104.492188	-68.188766
105.468750	-68.247932
106.445312	-69.286209
107.421875	-69.040115
108.398438	-69.142235
109.375000	-69.555603
110.351562	-69.409302
111.328125	-68.703934
112.304688	-69.550949
113.281250	-69.596115
114.257812	-69.644432
115.234375	-69.903069
116.210938	-68.763870
117.187500	-68.239052
118.164062	-68.167824
119.140625	-68.387894
120.117188	-67.612656
121.093750	-68.392967
122.070312	-68.101662
