Frequency (Hz)	Level (dB)
0.976562	-59.643196
1.953125	-56.575489
2.929688	-51.280113
3.906250	-53.830372
4.882812	-56.814732
5.859375	-58.642834
6.835938	-56.447811
7.812500	-56.265606
8.789062	-59.246475
9.765625	-59.411732
10.742188	-57.767826
11.718750	-61.286446
12.695312	-62.939800
13.671875	-62.022141
14.648438	-60.382896
15.625000	-62.331150
16.601562	-63.055645
17.578125	-62.620930
18.554688	-62.083385
19.531250	-64.593567
20.507812	-64.342674
21.484375	-62.236923
22.460938	-63.267708
23.437500	-65.363266
24.414062	-63.423996
25.390625	-63.670353
26.367188	-64.543251
27.343750	-64.568085
28.320312	-63.915810
29.296875	-64.617348
30.273438	-65.834274
31.250000	-66.463593
32.226562	-65.178398
33.203125	-64.701477
34.179688	-65.509369
35.156250	-65.268547
36.132812	-65.164253
37.109375	-65.104233
38.085938	-64.808701
39.062500	-65.650406
40.039062	-65.877106
41.015625	-65.834229
41.992188	-66.617233
42.968750	-66.137085
43.945312	-66.015511
44.921875	-67.449348
45.898438	-67.268784
46.875000	-66.359322
47.851562	-67.674820
48.828125	-66.471619
49.804688	-67.922523
50.781250	-67.805824
51.757812	-67.586861
52.734375	-67.923454
53.710938	-68.265457
54.687500	-69.137451
55.664062	-68.169029
56.640625	-69.158104
57.617188	-68.707130
58.593750	-68.044907
59.570312	-68.198082
60.546875	-69.622139
61.523438	-70.435013
62.500000	-68.168823
63.476562	-69.364006
64.453125	-69.600685
65.429688	-68.916260
66.406250	-69.231102
67.382812	-69.798515
68.359375	-70.735863
69.335938	-69.722908
70.312500	-70.375938
71.289062	-70.056534
72.265625	-70.346977
73.242188	-69.873383
74.218750	-70.146484
75.195312	-70.515816
76.171875	-69.937370
77.148438	-69.982597
78.125000	-70.105789
79.101562	-69.660957
80.078125	-70.166245
81.054688	-70.488014
82.031250	-70.800529
83.007812	-70.430489
83.984375	-69.710564
84.960938	-70.440819
85.937500	-70.620628
86.914062	-70.159218
87.890625	-71.033470
88.867188	-70.677299
89.843750	-70.714874
90.820312	-70.825584
91.796875	-70.896446
92.773438	-70.819336
93.750000	-70.578644
94.726562	-70.949219
95.703125	-71.234489
96.679688	-71.028839
97.656250	-70.815170
98.632812	-71.126808
99.609375	-71.630379
100.585938	-71.234123
101.562500	-71.129128
102.539062	-71.070091
103.515625	-71.426834
104.492188	-70.655922
105.468750	-70.486984
106.445312	-71.285561
107.421875	-71.009575
108.398438	-71.613052
109.375000	-71.740265
110.351562	-71.190681
111.328125	-70.790482
112.304688	-71.441048
113.281250	-71.240959
114.257812	-71.233673
115.234375	-71.236420
116.210938	-71.209641
117.187500	-71.223412
118.164062	-70.971382
119.140625	-71.244759
120.117188	-71.243576
121.093750	-71.324326
122.070312	-71.266617
123.046875	-71.351120
124.023438	-71.415894
125.000000	-71.142654
125.976562	-71.211105
126.953125	-71.272530
127.929688	-71.734261
128.906250	-71.184296
129.882812	-71.242767
130.859375	-71.441154
131.835938	-71.414780
132.812500	-71.134987
133.789062	-71.215660
134.765625	-71.515785
135.742188	-70.919876
136.718750	-71.093193
137.695312	-71.409363
138.671875	-71.310295
139.648438	-70.821625
140.625000	-71.268700
141.601562	-71.383423
142.578125	-71.111572
143.554688	-70.858955
144.531250	-71.060661
145.507812	-70.930893
146.484375	-70.787163
147.460938	-71.076271
148.437500	-71.105522
149.414062	-70.944321
150.390625	-70.543671
151.367188	-71.194427
152.343750	-71.018990
153.320312	-71.578781
154.296875	-70.883392
155.273438	-71.132721
156.250000	-71.085854
157.226562	-71.151497
158.203125	-71.175652
159.179688	-71.212143
160.156250	-71.544243
161.132812	-71.004723
162.109375	-70.863319
163.085938	-70.877159
164.062500	-71.140968
165.039062	-71.453239
166.015625	-71.245743
166.992188	-71.042259
167.968750	-71.682335
168.945312	-71.548882
169.921875	-71.687584
170.898438	-71.388634
171.875000	-71.764702
172.851562	-71.427795
173.828125	-71.497452
174.804688	-71.849121
175.781250	-71.344017
176.757812	-71.561775
177.734375	-71.305161
178.710938	-71.425552
179.687500	-71.564568
180.664062	-71.491005
181.640625	-71.762321
182.617188	-71.785957
183.593750	-71.722160
184.570312	-71.293709
185.546875	-71.816650
186.523438	-71.767990
187.500000	-71.559944
188.476562	-71.829247
189.453125	-71.754234
190.429688	-71.744827
191.406250	-71.500557
192.382812	-71.627869
193.359375	-71.435089
194.335938	-71.701973
195.312500	-71.622383
196.289062	-71.654205
197.265625	-71.648849
198.242188	-71.601540
199.218750	-71.564240
200.195312	-71.641678
201.171875	-71.732094
202.148438	-71.603180
203.125000	-71.997330
204.101562	-71.753044
205.078125	-71.708549
206.054688	-71.681740
207.031250	-71.684525
208.007812	-71.633125
208.984375	-71.958366
209.960938	-71.640862
210.937500	-71.495941
211.914062	-71.623055
212.890625	-71.522507
213.867188	-71.546440
214.843750	-71.859329
215.820312	-71.602112
216.796875	-71.678856
217.773438	-71.673111
218.750000	-71.869156
219.726562	-71.634766
220.703125	-71.992271
221.679688	-72.062965
222.656250	-71.616829
223.632812	-71.745743
224.609375	-71.718575
225.585938	-71.717171
226.562500	-71.601410
227.539062	-71.410721
228.515625	-71.590279
229.492188	-71.659378
230.468750	-71.478073
231.445312	-71.551056
232.421875	-71.385925
233.398438	-71.646935
234.375000	-71.692474
235.351562	-71.518707
236.328125	-71.431664
237.304688	-71.715027
238.281250	-71.720474
239.257812	-71.966148
240.234375	-71.614708
241.210938	-71.544167
242.187500	-71.621376
243.164062	-71.732124
244.140625	-71.507660
245.117188	-71.741898
246.093750	-71.460175
247.070312	-71.416077
248.046875	-71.562202
249.023438	-71.566750
250.000000	-71.311569
250.976562	-71.395607
251.953125	-71.338577
252.929688	-71.226456
253.906250	-71.662453
254.882812	-71.493568
255.859375	-71.468086
256.835938	-71.390137
257.812500	-71.090561
258.789062	-71.348137
259.765625	-71.417725
260.742188	-71.493530
261.718750	-71.372536
262.695312	-71.493965
263.671875	-71.467224
264.648438	-71.315773
265.625000	-71.786049
266.601562	-71.204445
267.578125	-71.290894
268.554688	-71.354675
269.531250	-71.459122
270.507812	-71.218323
271.484375	-71.660835
272.460938	-71.304276
273.437500	-71.383820
274.414062	-71.217903
275.390625	-71.966187
276.367188	-71.573563
277.343750	-71.526703
278.320312	-71.417274
279.296875	-71.509109
280.273438	-71.054932
281.250000	-71.393845
282.226562	-71.608986
283.203125	-71.223259
284.179688	-71.553116
285.156250	-71.272018
286.132812	-71.480553
287.109375	-71.287926
288.085938	-71.488121
289.062500	-71.215599
290.039062	-71.313950
291.015625	-71.494728
291.992188	-71.716537
292.968750	-71.297493
293.945312	-71.264832
294.921875	-71.101776
295.898438	-71.630745
296.875000	-71.133972
297.851562	-71.328239
298.828125	-71.428513
299.804688	-71.012878
300.781250	-70.980377
301.757812	-71.357536
302.734375	-71.351128
303.710938	-71.233559
304.687500	-71.050674
305.664062	-71.216286
306.640625	-70.994469
307.617188	-71.420700
308.593750	-71.074760
309.570312	-71.048416
310.546875	-71.340790
311.523438	-71.192505
312.500000	-70.926994
313.476562	-71.064468
314.453125	-71.074966
315.429688	-70.878090
316.406250	-71.043007
317.382812	-71.492165
318.359375	-71.349174
319.335938	-71.003845
320.312500	-71.579582
321.289062	-71.152031
322.265625	-71.239067
323.242188	-71.266373
324.218750	-71.495392
325.195312	-71.567734
326.171875	-71.240822
327.148438	-71.052460
328.125000	-70.973999
329.101562	-71.051323
330.078125	-71.037971
331.054688	-71.314560
332.031250	-70.969193
333.007812	-71.050972
333.984375	-71.075195
334.960938	-71.020569
335.937500	-71.161163
336.914062	-70.828812
337.890625	-71.043343
338.867188	-70.929367
339.843750	-71.173561
340.820312	-70.800720
341.796875	-70.744675
342.773438	-70.726257
343.750000	-71.215904
344.726562	-71.210274
345.703125	-71.040688
346.679688	-70.795135
347.656250	-71.044075
348.632812	-70.922455
349.609375	-70.948410
350.585938	-71.112175
351.562500	-71.320045
352.539062	-71.408615
353.515625	-70.969757
354.492188	-71.039665
355.468750	-71.228554
356.445312	-71.040451
357.421875	-71.165062
358.398438	-71.000862
359.375000	-71.081482
360.351562	-71.121407
361.328125	-71.295349
362.304688	-71.082657
363.281250	-71.179230
364.257812	-71.022514
365.234375	-71.070877
366.210938	-71.138641
367.187500	-70.731300
368.164062	-71.110847
369.140625	-70.931068
370.117188	-70.954239
371.093750	-70.822365
372.070312	-71.216331
373.046875	-70.793221
374.023438	-71.050064
375.000000	-70.871902
375.976562	-70.914986
376.953125	-70.870949
377.929688	-70.887619
378.906250	-70.923103
379.882812	-70.909836
380.859375	-70.795105
381.835938	-70.840172
382.812500	-71.173752
383.789062	-70.572014
384.765625	-71.187912
385.742188	-70.686188
386.718750	-70.814827
387.695312	-70.745125
388.671875	-70.942703
389.648438	-70.913040
390.625000	-71.037819
391.601562	-70.913399
392.578125	-70.730942
393.554688	-70.655685
394.531250	-70.645691
395.507812	-70.891777
396.484375	-70.869110
397.460938	-70.956039
398.437500	-70.640549
399.414062	-70.671410
400.390625	-70.855400
401.367188	-70.606674
402.343750	-70.537109
403.320312	-70.666931
404.296875	-70.553154
405.273438	-70.707245
406.250000	-70.873192
407.226562	-70.386398
408.203125	-70.714691
409.179688	-70.493591
410.156250	-70.835876
411.132812	-70.903587
412.109375	-70.604652
413.085938	-70.852760
414.062500	-71.055748
415.039062	-70.615509
416.015625	-70.317322
416.992188	-70.345459
417.968750	-70.923981
418.945312	-70.595329
419.921875	-70.812126
420.898438	-70.151543
421.875000	-70.439407
422.851562	-69.899551
423.828125	-70.686859
424.804688	-70.855316
425.781250	-70.738457
426.757812	-70.658409
427.734375	-70.466911
428.710938	-70.694199
429.687500	-70.695724
430.664062	-70.617661
431.640625	-70.450218
432.617188	-70.540054
433.593750	-70.778275
434.570312	-70.399101
435.546875	-70.651169
436.523438	-70.290108
437.500000	-70.396477
438.476562	-70.124947
439.453125	-70.443481
440.429688	-69.750351
441.406250	-70.369431
442.382812	-70.570625
443.359375	-70.723457
444.335938	-70.403931
445.312500	-70.461853
446.289062	-70.245346
447.265625	-70.220634
448.242188	-70.076546
449.218750	-70.503029
450.195312	-70.260635
451.171875	-70.601601
452.148438	-70.647621
453.125000	-70.339371
454.101562	-70.639870
455.078125	-70.141365
456.054688	-70.735931
457.031250	-70.625534
458.007812	-70.009338
458.984375	-70.332100
459.960938	-70.023949
460.937500	-70.305023
461.914062	-70.412971
462.890625	-70.172882
463.867188	-70.393761
464.843750	-70.298904
465.820312	-70.158531
466.796875	-70.255432
467.773438	-70.690994
468.750000	-69.997215
469.726562	-70.003464
470.703125	-70.151337
471.679688	-69.987892
472.656250	-70.405106
473.632812	-69.839111
474.609375	-70.141083
475.585938	-70.042938
476.562500	-70.502052
477.539062	-70.011292
478.515625	-70.142914
479.492188	-70.548706
480.468750	-70.110168
481.445312	-70.058586
482.421875	-70.200127
483.398438	-70.093040
484.375000	-70.055809
485.351562	-69.905777
486.328125	-69.974007
487.304688	-70.106918
488.281250	-70.108879
489.257812	-70.297173
490.234375	-70.386353
491.210938	-69.635094
492.187500	-70.226051
493.164062	-69.696060
494.140625	-70.090439
495.117188	-70.287895
496.093750	-70.296730
497.070312	-69.522377
498.046875	-70.190628
499.023438	-70.069466
500.000000	-70.091156
500.976562	-70.134010
501.953125	-69.991837
502.929688	-69.587105
503.906250	-69.990616
504.882812	-70.128006
505.859375	-70.040115
506.835938	-69.916916
507.812500	-70.162003
508.789062	-69.949509
509.765625	-70.155487
510.742188	-70.010971
511.718750	-70.160057
512.695312	-69.891129
513.671875	-69.968994
514.648438	-70.009384
515.625000	-70.054451
516.601562	-70.044418
517.578125	-69.924255
518.554688	-69.510468
519.531250	-69.749115
520.507812	-69.945045
521.484375	-69.883621
522.460938	-70.090332
523.437500	-69.615417
524.414062	-70.231972
525.390625	-70.117699
526.367188	-70.194229
527.343750	-69.882774
528.320312	-70.155479
529.296875	-69.931274
530.273438	-70.016655
531.250000	-69.942146
532.226562	-69.774483
533.203125	-69.950760
534.179688	-69.966377
535.156250	-70.143913
536.132812	-69.954468
537.109375	-70.219360
538.085938	-69.932549
539.062500	-69.850037
540.039062	-70.148705
541.015625	-69.528381
541.992188	-69.705948
542.968750	-70.006317
543.945312	-69.832230
544.921875	-69.957115
545.898438	-69.589043
546.875000	-69.693367
547.851562	-69.282387
548.828125	-69.764618
549.804688	-69.607758
550.781250	-69.990181
551.757812	-69.712402
552.734375	-69.706841
553.710938	-69.548294
554.687500	-69.805595
555.664062	-69.376129
556.640625	-69.368408
557.617188	-69.914185
558.593750	-69.128769
559.570312	-69.850281
560.546875	-69.901039
561.523438	-69.915573
562.500000	-69.781639
563.476562	-69.934868
564.453125	-69.826591
565.429688	-69.666527
566.406250	-69.561226
567.382812	-69.303856
568.359375	-69.734253
569.335938	-69.170898
570.312500	-69.515144
571.289062	-69.623947
572.265625	-69.212364
573.242188	-69.718697
574.218750	-69.343613
575.195312	-69.591866
576.171875	-69.166885
577.148438	-69.481087
578.125000	-69.437065
579.101562	-69.407471
580.078125	-69.545906
581.054688	-69.588921
582.031250	-69.695465
583.007812	-69.492859
583.984375	-69.593781
584.960938	-69.422630
585.937500	-69.132484
586.914062	-69.817688
587.890625	-69.595558
588.867188	-69.853592
589.843750	-69.669579
590.820312	-69.615189
591.796875	-69.459000
592.773438	-69.410614
593.750000	-69.148994
594.726562	-69.241425
595.703125	-69.147491
596.679688	-69.483498
597.656250	-69.585136
598.632812	-69.032646
599.609375	-69.751167
600.585938	-69.322327
601.562500	-69.306297
602.539062	-69.071884
603.515625	-69.368011
604.492188	-69.148758
605.468750	-69.254272
606.445312	-69.685776
607.421875	-68.977486
608.398438	-69.507347
609.375000	-69.625175
610.351562	-69.342323
611.328125	-68.618294
612.304688	-68.786812
613.281250	-69.420456
614.257812	-69.061157
615.234375	-68.999588
616.210938	-69.429161
617.187500	-69.604233
618.164062	-68.893707
619.140625	-69.416672
620.117188	-69.663025
621.093750	-69.598427
622.070312	-69.187012
623.046875	-68.844139
624.023438	-69.090172
625.000000	-68.850143
625.976562	-68.803658
626.953125	-69.197189
627.929688	-69.264702
628.906250	-69.501617
629.882812	-69.413200
630.859375	-69.218765
631.835938	-69.139244
632.812500	-69.013725
633.789062	-69.082787
634.765625	-69.092728
635.742188	-69.103996
636.718750	-68.832924
637.695312	-69.219460
638.671875	-69.245918
639.648438	-69.083694
640.625000	-68.897758
641.601562	-69.007057
642.578125	-68.940956
643.554688	-68.793716
644.531250	-69.102211
645.507812	-68.809540
646.484375	-68.922050
647.460938	-69.347733
648.437500	-69.121811
649.414062	-68.713501
650.390625	-68.656975
651.367188	-69.097847
652.343750	-68.784988
653.320312	-68.999413
654.296875	-68.912453
655.273438	-69.122231
656.250000	-68.653458
657.226562	-69.107681
658.203125	-68.894524
659.179688	-69.302711
