Frequency (Hz)	Level (dB)
0.976562	-38.170830
1.953125	-43.169178
2.929688	-41.017296
3.906250	-34.248596
4.882812	-45.708458
5.859375	-46.256123
6.835938	-38.365593
7.812500	-35.516945
8.789062	-45.534988
9.765625	-46.499489
10.742188	-37.631001
11.718750	-39.273758
12.695312	-46.699619
13.671875	-45.524136
14.648438	-37.822193
15.625000	-42.829048
16.601562	-49.239750
17.578125	-43.920082
18.554688	-38.906853
19.531250	-45.354340
20.507812	-48.519432
21.484375	-44.195515
22.460938	-41.698475
23.437500	-48.016541
24.414062	-47.139637
25.390625	-42.740200
26.367188	-42.431843
27.343750	-48.811760
28.320312	-46.774536
29.296875	-45.690807
30.273438	-42.623478
31.250000	-49.206959
32.226562	-46.907337
33.203125	-44.767029
34.179688	-44.677719
35.156250	-48.485447
36.132812	-47.674438
37.109375	-46.598564
38.085938	-44.880859
39.062500	-47.248955
40.039062	-47.010460
41.015625	-44.625080
41.992188	-46.408287
42.968750	-48.447559
43.945312	-47.818153
44.921875	-42.638535
45.898438	-46.620975
46.875000	-48.513393
47.851562	-47.308323
48.828125	-46.011581
49.804688	-48.443714
50.781250	-50.326878
51.757812	-47.953323
52.734375	-48.296612
53.710938	-50.057735
54.687500	-48.781292
55.664062	-47.520618
56.640625	-46.296947
57.617188	-49.897942
58.593750	-47.649540
59.570312	-49.461082
60.546875	-47.863068
61.523438	-51.168087
62.500000	-49.319035
63.476562	-49.099049
64.453125	-48.151264
65.429688	-49.991718
66.406250	-48.671032
67.382812	-48.968277
68.359375	-51.011528
69.335938	-50.668095
70.312500	-49.784363
71.289062	-47.855106
72.265625	-47.488235
73.242188	-50.063557
74.218750	-49.452690
75.195312	-48.902142
76.171875	-49.822823
77.148438	-50.535465
78.125000	-48.176365
79.101562	-47.215492
80.078125	-49.207420
81.054688	-49.865124
82.031250	-50.195145
83.007812	-50.074196
83.984375	-50.977631
84.960938	-51.131748
85.937500	-50.143162
86.914062	-49.541855
87.890625	-50.056667
88.867188	-49.967285
89.843750	-50.217052
90.820312	-51.533203
91.796875	-50.131233
92.773438	-50.849445
93.750000	-49.692261
94.726562	-50.284206
95.703125	-50.157749
96.679688	-50.684574
97.656250	-50.766216
98.632812	-50.941158
99.609375	-50.673889
100.585938	-50.228237
101.562500	-49.050549
102.539062	-49.706123
103.515625	-51.192993
104.492188	-51.607594
105.468750	-48.453835
106.445312	-51.093784
107.421875	-51.024364
108.398438	-51.304211
109.375000	-50.534920
110.351562	-51.447311
111.328125	-51.984524
112.304688	-50.365810
113.281250	-50.391609
114.257812	-51.853325
115.234375	-51.834160
116.210938	-52.233105
117.187500	-52.336452
118.164062	-52.319023
119.140625	-50.989464
120.117188	-51.017189
121.093750	-51.473625
122.070312	-52.246109
123.046875	-52.449451
124.023438	-49.744503
125.000000	-49.245029
125.976562	-52.020416
126.953125	-50.866882
127.929688	-49.124027
128.906250	-50.610161
129.882812	-51.555180
130.859375	-49.427776
131.835938	-49.514210
132.812500	-50.368515
133.789062	-50.526733
134.765625	-50.348022
135.742188	-46.956608
136.718750	-51.254143
137.695312	-50.502750
138.671875	-49.007458
139.648438	-50.350266
140.625000	-50.867603
141.601562	-52.072918
142.578125	-48.778400
143.554688	-49.724937
144.531250	-50.854469
145.507812	-50.414139
146.484375	-48.462650
147.460938	-49.005703
148.437500	-50.235432
149.414062	-50.711079
150.390625	-51.246922
151.367188	-50.257656
152.343750	-50.967712
153.320312	-49.886700
154.296875	-49.412567
155.273438	-49.054626
156.250000	-49.977398
157.226562	-49.366108
158.203125	-50.647701
159.179688	-50.496109
160.156250	-50.174370
161.132812	-50.480328
162.109375	-50.615921
163.085938	-49.137604
164.062500	-49.307957
165.039062	-49.680744
166.015625	-49.355347
166.992188	-49.088638
167.968750	-51.294010
168.945312	-49.738365
169.921875	-48.986870
170.898438	-49.693935
171.875000	-50.177013
172.851562	-47.927090
173.828125	-47.037918
174.804688	-50.894840
175.781250	-50.173752
176.757812	-47.009624
177.734375	-48.182110
178.710938	-50.134766
179.687500	-46.772045
180.664062	-43.622746
181.640625	-45.238102
182.617188	-46.918045
183.593750	-42.293884
184.570312	-40.392685
185.546875	-44.933315
186.523438	-45.563522
187.500000	-40.039211
188.476562	-44.898842
189.453125	-48.365864
190.429688	-47.393219
191.406250	-45.341469
192.382812	-49.486816
193.359375	-50.129429
194.335938	-47.727142
195.312500	-47.010082
196.289062	-48.963703
197.265625	-50.263229
198.242188	-48.086914
199.218750	-50.533409
200.195312	-52.504314
201.171875	-50.617687
202.148438	-48.710083
203.125000	-49.908096
204.101562	-52.770256
205.078125	-52.068401
206.054688	-48.517250
207.031250	-51.384624
208.007812	-51.728298
208.984375	-51.216187
209.960938	-50.220036
210.937500	-51.881264
211.914062	-50.945793
212.890625	-50.885208
213.867188	-50.528992
214.843750	-51.218754
215.820312	-51.876762
216.796875	-51.492100
217.773438	-52.190472
218.750000	-51.678062
219.726562	-50.839535
220.703125	-50.182632
221.679688	-51.910137
222.656250	-52.810165
223.632812	-52.113216
224.609375	-51.270679
225.585938	-50.673141
226.562500	-52.090054
227.539062	-51.827126
228.515625	-51.402451
229.492188	-52.481361
230.468750	-52.666603
231.445312	-52.247463
232.421875	-52.075066
233.398438	-53.300907
234.375000	-53.609947
235.351562	-53.661282
236.328125	-51.564716
237.304688	-52.605198
238.281250	-52.946789
239.257812	-53.155670
240.234375	-53.200203
241.210938	-54.332260
242.187500	-52.936619
243.164062	-53.345284
244.140625	-52.978432
245.117188	-53.245815
246.093750	-53.642014
247.070312	-54.448971
248.046875	-53.241547
249.023438	-53.702221
250.000000	-52.663132
250.976562	-53.436470
251.953125	-54.495892
252.929688	-52.944595
253.906250	-53.693523
254.882812	-53.743767
255.859375	-53.839489
256.835938	-53.285450
257.812500	-52.952717
258.789062	-55.233608
259.765625	-53.450264
260.742188	-53.513958
261.718750	-54.859028
262.695312	-55.121483
263.671875	-54.488525
264.648438	-54.165588
265.625000	-55.254719
266.601562	-53.120647
267.578125	-54.346649
268.554688	-52.630623
269.531250	-55.180935
270.507812	-54.493397
271.484375	-54.387772
272.460938	-54.547066
273.437500	-53.145248
274.414062	-54.966984
275.390625	-54.635902
276.367188	-55.578476
277.343750	-54.215900
278.320312	-53.279888
279.296875	-54.298603
280.273438	-54.720634
281.250000	-54.983837
282.226562	-54.630009
283.203125	-53.795597
284.179688	-54.240585
285.156250	-55.522083
286.132812	-54.615719
287.109375	-54.245182
288.085938	-53.737194
289.062500	-54.156490
290.039062	-53.931355
291.015625	-55.641167
291.992188	-54.574821
292.968750	-54.095772
293.945312	-53.689835
294.921875	-53.441921
295.898438	-53.902824
296.875000	-55.093822
297.851562	-53.476917
298.828125	-54.987732
299.804688	-53.767921
300.781250	-52.933220
301.757812	-52.804947
302.734375	-55.786430
303.710938	-54.346382
304.687500	-53.133453
305.664062	-53.427727
306.640625	-54.155457
307.617188	-53.123569
308.593750	-53.340694
309.570312	-53.253506
310.546875	-53.945637
311.523438	-52.954155
312.500000	-53.994286
313.476562	-54.782127
314.453125	-54.681328
315.429688	-53.051102
316.406250	-54.471214
317.382812	-53.235935
318.359375	-53.117573
319.335938	-53.018181
320.312500	-53.812637
321.289062	-54.538559
322.265625	-52.493748
323.242188	-51.859802
324.218750	-52.614197
325.195312	-53.352852
326.171875	-51.478256
327.148438	-52.683048
328.125000	-52.436047
329.101562	-51.893284
330.078125	-52.565239
331.054688	-52.729946
332.031250	-53.646431
333.007812	-52.440819
333.984375	-51.066216
334.960938	-52.465488
335.937500	-52.349247
336.914062	-52.695213
337.890625	-52.154865
338.867188	-52.556404
339.843750	-52.895386
340.820312	-51.820339
341.796875	-50.882591
342.773438	-51.901993
343.750000	-50.331814
344.726562	-51.587341
345.703125	-52.519730
346.679688	-52.427235
347.656250	-50.970562
348.632812	-51.967407
349.609375	-52.370640
350.585938	-51.758499
351.562500	-50.248608
352.539062	-47.836548
353.515625	-51.442093
354.492188	-51.720051
355.468750	-48.639984
356.445312	-50.072865
357.421875	-50.094246
358.398438	-47.812901
359.375000	-49.263836
360.351562	-48.366371
361.328125	-48.289936
362.304688	-45.871384
363.281250	-45.885147
364.257812	-44.736919
365.234375	-43.854187
366.210938	-47.370922
367.187500	-47.873165
368.164062	-49.155430
369.140625	-48.271645
370.117188	-48.717815
371.093750	-50.859318
372.070312	-47.453671
373.046875	-49.339554
374.023438	-51.359150
375.000000	-51.228024
375.976562	-52.158333
376.953125	-52.431492
377.929688	-52.250378
378.906250	-50.823868
379.882812	-51.732040
380.859375	-51.549885
381.835938	-53.082256
382.812500	-52.703156
383.789062	-52.490925
384.765625	-53.634933
385.742188	-52.083927
386.718750	-52.030754
387.695312	-52.907951
388.671875	-53.184109
389.648438	-53.111023
390.625000	-52.262280
391.601562	-52.415104
392.578125	-53.364197
393.554688	-52.763214
394.531250	-53.390182
395.507812	-52.475670
396.484375	-53.275002
397.460938	-51.737705
398.437500	-52.590084
399.414062	-53.230247
400.390625	-53.993923
401.367188	-52.895809
402.343750	-53.287525
403.320312	-53.144600
404.296875	-53.761593
405.273438	-52.507042
406.250000	-51.946892
407.226562	-52.257641
408.203125	-54.575703
409.179688	-53.524567
410.156250	-53.471741
411.132812	-53.409737
412.109375	-54.483650
413.085938	-54.947163
414.062500	-54.001209
415.039062	-54.293171
416.015625	-54.237717
416.992188	-54.537544
417.968750	-53.858551
418.945312	-54.033382
419.921875	-54.224396
420.898438	-54.521214
421.875000	-54.103271
422.851562	-55.455753
423.828125	-54.026131
424.804688	-54.695015
425.781250	-54.174625
426.757812	-55.253803
427.734375	-55.671101
428.710938	-54.961369
429.687500	-54.746635
430.664062	-56.280884
431.640625	-55.078411
432.617188	-54.166840
433.593750	-55.427479
434.570312	-55.421242
435.546875	-55.506485
436.523438	-55.637421
437.500000	-55.695160
438.476562	-54.856861
439.453125	-55.402454
440.429688	-54.739872
441.406250	-54.901279
442.382812	-55.681705
443.359375	-55.410610
444.335938	-55.591473
445.312500	-55.316410
446.289062	-55.472244
447.265625	-55.687527
448.242188	-56.233318
449.218750	-55.704735
450.195312	-55.701851
451.171875	-55.105732
452.148438	-56.279659
453.125000	-55.017639
454.101562	-55.091125
455.078125	-55.192631
456.054688	-53.449394
457.031250	-54.626305
458.007812	-53.712124
458.984375	-54.572388
459.960938	-55.097092
460.937500	-55.158840
461.914062	-54.825249
462.890625	-55.611732
463.867188	-54.446602
464.843750	-53.928726
465.820312	-53.724117
466.796875	-53.944412
467.773438	-56.082561
468.750000	-55.276608
469.726562	-53.123653
470.703125	-53.370724
471.679688	-54.373192
472.656250	-55.286125
473.632812	-54.080151
474.609375	-52.920692
475.585938	-53.975590
476.562500	-53.320168
477.539062	-54.136791
478.515625	-54.233585
479.492188	-53.653545
480.468750	-54.487610
481.445312	-53.235733
482.421875	-53.168175
483.398438	-54.065022
484.375000	-54.888302
485.351562	-53.988319
486.328125	-53.757038
487.304688	-55.033077
488.281250	-53.911808
489.257812	-51.994698
490.234375	-52.993305
491.210938	-53.735428
492.187500	-52.188145
493.164062	-53.941181
494.140625	-53.681034
495.117188	-53.082233
496.093750	-52.172005
497.070312	-53.110191
498.046875	-52.335964
499.023438	-51.169319
500.000000	-51.530479
500.976562	-52.049149
501.953125	-53.754150
502.929688	-51.873840
503.906250	-51.377842
504.882812	-53.676785
505.859375	-51.881687
506.835938	-52.869339
507.812500	-52.277885
508.789062	-54.429626
509.765625	-52.368835
510.742188	-50.839706
511.718750	-51.077496
512.695312	-50.261337
513.671875	-51.809052
514.648438	-49.792568
515.625000	-54.457001
516.601562	-52.281254
517.578125	-51.343067
518.554688	-50.351204
519.531250	-52.825005
520.507812	-52.402035
521.484375	-53.096973
522.460938	-51.584583
523.437500	-51.209965
524.414062	-51.758499
525.390625	-50.114182
526.367188	-48.347580
527.343750	-49.772106
528.320312	-48.304665
529.296875	-50.603184
530.273438	-49.657253
531.250000	-49.144100
532.226562	-48.321987
533.203125	-48.710800
534.179688	-48.881107
535.156250	-47.317158
536.132812	-48.639412
537.109375	-49.232746
538.085938	-48.295853
539.062500	-49.207844
540.039062	-48.158562
541.015625	-48.816853
541.992188	-46.665783
542.968750	-47.441826
543.945312	-45.492188
544.921875	-43.921612
545.898438	-42.709782
546.875000	-46.120335
547.851562	-44.013653
548.828125	-45.341366
549.804688	-46.336987
550.781250	-47.001282
551.757812	-46.717690
552.734375	-44.957485
553.710938	-47.356567
554.687500	-46.914028
555.664062	-47.598713
556.640625	-48.015743
557.617188	-49.942917
558.593750	-48.936878
559.570312	-50.052166
560.546875	-49.418228
561.523438	-52.246567
562.500000	-52.192451
563.476562	-51.380634
564.453125	-50.792789
565.429688	-52.290340
566.406250	-51.868580
567.382812	-51.564919
568.359375	-50.506397
569.335938	-49.729809
570.312500	-50.689987
571.289062	-51.339993
572.265625	-52.922939
573.242188	-51.997757
574.218750	-53.040726
575.195312	-52.972851
576.171875	-54.742649
577.148438	-52.600777
578.125000	-52.587414
579.101562	-53.106842
580.078125	-52.175331
581.054688	-52.534348
582.031250	-50.693737
583.007812	-52.594990
583.984375	-52.736423
584.960938	-52.041016
585.937500	-52.135548
586.914062	-51.462925
587.890625	-52.233936
588.867188	-54.107964
589.843750	-52.793362
590.820312	-52.555542
591.796875	-54.470978
592.773438	-53.316940
593.750000	-52.817451
594.726562	-53.015297
595.703125	-54.118359
596.679688	-54.514908
597.656250	-53.739220
598.632812	-52.272198
599.609375	-53.800793
600.585938	-53.303898
601.562500	-54.835117
602.539062	-53.569809
603.515625	-54.494854
604.492188	-53.735775
605.468750	-54.209793
606.445312	-53.662613
607.421875	-53.543148
608.398438	-53.451759
609.375000	-54.501205
610.351562	-53.537205
611.328125	-53.911774
612.304688	-54.674923
613.281250	-55.206333
614.257812	-53.679497
615.234375	-54.837479
616.210938	-54.189716
617.187500	-53.874798
618.164062	-53.717709
619.140625	-54.939266
620.117188	-54.736538
621.093750	-54.634140
622.070312	-53.995041
623.046875	-52.564171
624.023438	-54.580837
625.000000	-54.668346
625.976562	-52.778984
626.953125	-54.916889
627.929688	-54.278385
628.906250	-55.007156
629.882812	-52.841583
630.859375	-54.193993
631.835938	-53.674850
632.812500	-54.661877
633.789062	-53.732010
634.765625	-53.566700
635.742188	-54.231850
636.718750	-54.251690
637.695312	-54.590263
638.671875	-53.667198
639.648438	-53.997063
640.625000	-55.226452
641.601562	-54.611565
642.578125	-55.829395
643.554688	-53.060654
644.531250	-53.800407
645.507812	-52.660114
646.484375	-53.458420
647.460938	-52.719170
648.437500	-55.264187
649.414062	-54.216526
650.390625	-53.609970
651.367188	-52.114372
652.343750	-52.281418
653.320312	-53.500153
654.296875	-53.200329
655.273438	-52.980335
656.250000	-55.348083
657.226562	-53.952518
658.203125	-53.669125
659.179688	-51.440815
660.156250	-50.846287
661.132812	-50.559135
662.109375	-50.292656
663.085938	-48.772572
664.062500	-51.354408
665.039062	-49.910339
666.015625	-51.977711
666.992188	-51.504589
667.968750	-52.285297
668.945312	-51.535667
669.921875	-50.089241
670.898438	-52.052135
671.875000	-48.247505
672.851562	-50.389935
673.828125	-51.219704
674.804688	-51.388527
675.781250	-50.464981
676.757812	-51.611088
677.734375	-50.248158
678.710938	-49.136230
679.687500	-48.332916
680.664062	-48.675797
681.640625	-48.276031
682.617188	-47.048840
683.593750	-47.015438
684.570312	-48.520027
685.546875	-44.708805
686.523438	-45.626778
687.500000	-45.555592
688.476562	-47.427959
689.453125	-47.139118
690.429688	-46.768509
691.406250	-46.372250
692.382812	-47.720173
693.359375	-45.908653
694.335938	-44.387730
695.312500	-46.624638
696.289062	-43.943565
697.265625	-44.709846
698.242188	-45.021141
699.218750	-46.823734
700.195312	-45.602890
701.171875	-46.351330
702.148438	-46.978027
703.125000	-46.877102
704.101562	-48.018131
705.078125	-46.914944
706.054688	-47.446045
707.031250	-45.105858
708.007812	-44.700157
708.984375	-47.995930
709.960938	-46.091690
710.937500	-43.857033
711.914062	-44.762428
712.890625	-47.543007
713.867188	-44.684986
714.843750	-40.993362
715.820312	-42.718246
716.796875	-43.650196
717.773438	-41.986107
718.750000	-40.671146
719.726562	-39.020351
720.703125	-41.703896
721.679688	-37.086441
722.656250	-44.475029
723.632812	-38.885292
724.609375	-37.156193
725.585938	-39.716827
726.562500	-40.277798
727.539062	-38.401814
728.515625	-35.463314
729.492188	-39.305161
730.468750	-39.842377
731.445312	-36.555061
732.421875	-38.725796
733.398438	-41.297657
734.375000	-38.543705
735.351562	-37.021492
736.328125	-40.217346
737.304688	-38.690903
738.281250	-39.767258
739.257812	-41.533310
740.234375	-39.290470
741.210938	-41.757843
742.187500	-41.414989
743.164062	-43.345497
744.140625	-48.158455
745.117188	-46.180542
746.093750	-47.434307
747.070312	-47.531281
748.046875	-48.848309
749.023438	-51.095280
750.000000	-48.614002
750.976562	-47.980106
751.953125	-49.818356
752.929688	-47.600170
753.906250	-48.494965
754.882812	-50.597523
755.859375	-47.226486
756.835938	-46.895664
757.812500	-49.678783
758.789062	-49.481098
759.765625	-47.357536
760.742188	-49.771496
761.718750	-49.814793
762.695312	-50.031219
763.671875	-49.982246
764.648438	-50.311481
765.625000	-50.741276
766.601562	-50.455631
767.578125	-50.289516
768.554688	-50.533108
769.531250	-51.531773
770.507812	-50.970287
771.484375	-50.532097
772.460938	-52.391022
773.437500	-51.043011
774.414062	-51.119743
775.390625	-49.964172
776.367188	-49.327568
777.343750	-48.353764
778.320312	-50.324078
779.296875	-50.235008
780.273438	-51.236214
781.250000	-51.110661
782.226562	-50.358330
783.203125	-50.930756
784.179688	-52.486256
785.156250	-50.870785
786.132812	-52.286079
787.109375	-51.587387
788.085938	-51.532452
789.062500	-50.750019
790.039062	-51.087830
791.015625	-52.000854
791.992188	-50.077930
792.968750	-50.805355
793.945312	-51.576336
794.921875	-51.367008
795.898438	-52.120136
796.875000	-52.588394
797.851562	-52.141464
798.828125	-50.831615
799.804688	-50.950851
800.781250	-51.104012
801.757812	-51.399868
802.734375	-51.287762
803.710938	-51.551758
804.687500	-51.156284
805.664062	-51.326157
806.640625	-50.033806
807.617188	-51.149014
808.593750	-51.418247
809.570312	-52.424183
810.546875	-51.057690
811.523438	-50.693867
812.500000	-51.761902
813.476562	-51.391953
814.453125	-50.486809
815.429688	-50.077168
816.406250	-49.505337
817.382812	-50.314819
818.359375	-50.581238
819.335938	-50.540279
820.312500	-49.728214
821.289062	-50.757603
822.265625	-50.250111
823.242188	-50.151093
824.218750	-49.572750
825.195312	-49.468491
826.171875	-49.404167
827.148438	-50.091873
828.125000	-48.818306
829.101562	-47.845978
830.078125	-49.704834
831.054688	-47.768608
832.031250	-48.993454
833.007812	-49.394730
833.984375	-47.701305
834.960938	-48.484562
835.937500	-46.950123
836.914062	-47.469742
837.890625	-47.185791
838.867188	-47.460213
