Frequency (Hz)	Level (dB)
0.976562	-58.404274
1.953125	-62.917130
2.929688	-59.967968
3.906250	-52.259144
4.882812	-61.277164
5.859375	-64.038002
6.835938	-58.933781
7.812500	-52.079510
8.789062	-59.568974
9.765625	-62.525703
10.742188	-57.544899
11.718750	-52.573364
12.695312	-59.575649
13.671875	-62.205681
14.648438	-56.788300
15.625000	-53.141087
16.601562	-59.445953
17.578125	-62.850601
18.554688	-56.715866
19.531250	-56.163307
20.507812	-60.375309
21.484375	-61.990749
22.460938	-57.216248
23.437500	-54.710663
24.414062	-58.082634
25.390625	-62.527699
26.367188	-59.007065
27.343750	-57.598572
28.320312	-59.710739
29.296875	-61.999935
30.273438	-58.402615
31.250000	-57.443424
32.226562	-59.825134
33.203125	-61.787258
34.179688	-58.487926
35.156250	-57.205757
36.132812	-59.778282
37.109375	-62.276405
38.085938	-60.066265
39.062500	-57.134308
40.039062	-59.551231
41.015625	-61.042473
41.992188	-59.437111
42.968750	-56.972076
43.945312	-59.341419
44.921875	-60.365265
45.898438	-60.167202
46.875000	-58.138508
47.851562	-58.823139
48.828125	-60.353680
49.804688	-60.490860
50.781250	-59.758411
51.757812	-59.687962
52.734375	-59.857502
53.710938	-60.686077
54.687500	-58.418869
55.664062	-60.676579
56.640625	-61.475304
57.617188	-61.027554
58.593750	-60.442352
59.570312	-60.576702
60.546875	-60.898220
61.523438	-61.610088
62.500000	-60.437714
63.476562	-59.842163
64.453125	-61.368824
65.429688	-61.764843
66.406250	-61.350780
67.382812	-60.320866
68.359375	-61.454666
69.335938	-61.515385
70.312500	-60.763832
71.289062	-61.067280
72.265625	-61.215389
73.242188	-62.465874
74.218750	-62.822273
75.195312	-61.277664
76.171875	-61.151562
77.148438	-62.722141
78.125000	-61.699207
79.101562	-61.181786
80.078125	-62.191757
81.054688	-62.921768
82.031250	-62.171673
83.007812	-61.708218
83.984375	-61.972050
84.960938	-63.121964
85.937500	-60.933388
86.914062	-60.946747
87.890625	-61.945389
88.867188	-62.275005
89.843750	-61.535095
90.820312	-61.241707
91.796875	-61.979328
92.773438	-62.720413
93.750000	-62.010887
94.726562	-60.892246
95.703125	-61.816460
96.679688	-61.433960
97.656250	-61.755890
98.632812	-62.085720
99.609375	-62.138748
100.585938	-61.633152
101.562500	-61.131298
102.539062	-61.615475
103.515625	-62.313156
104.492188	-61.599594
105.468750	-61.673828
106.445312	-62.299088
107.421875	-61.613503
108.398438	-62.920124
109.375000	-61.859001
110.351562	-61.416370
111.328125	-61.881329
112.304688	-61.072720
113.281250	-62.964622
114.257812	-62.086613
115.234375	-62.463444
116.210938	-61.140026
117.187500	-61.559166
118.164062	-62.504631
119.140625	-62.507629
120.117188	-62.261097
121.093750	-63.141090
122.070312	-62.835476
123.046875	-62.188354
124.023438	-61.737144
125.000000	-61.477512
125.976562	-62.047352
126.953125	-62.169609
127.929688	-61.622391
128.906250	-61.707489
129.882812	-62.812721
130.859375	-62.030941
131.835938	-61.073669
132.812500	-61.722149
133.789062	-62.292408
134.765625	-62.094246
135.742188	-60.782513
136.718750	-62.481148
137.695312	-62.779255
138.671875	-61.823673
139.648438	-61.382607
140.625000	-61.916992
141.601562	-62.315857
142.578125	-61.344440
143.554688	-61.666233
144.531250	-61.769531
145.507812	-61.314732
146.484375	-61.100613
147.460938	-62.773998
148.437500	-62.459568
149.414062	-62.133286
150.390625	-60.488998
151.367188	-61.874996
152.343750	-64.516869
153.320312	-63.013763
154.296875	-63.119194
155.273438	-63.544197
156.250000	-64.296364
157.226562	-64.283607
158.203125	-63.826691
159.179688	-64.173607
160.156250	-64.155464
161.132812	-64.126350
162.109375	-64.125488
163.085938	-64.617416
164.062500	-64.673721
165.039062	-64.182327
166.015625	-64.626984
166.992188	-64.072998
167.968750	-64.500854
168.945312	-64.054527
169.921875	-64.348351
170.898438	-63.717587
171.875000	-64.746422
172.851562	-64.550735
173.828125	-63.959339
174.804688	-64.945839
175.781250	-64.183357
176.757812	-64.282547
177.734375	-64.354507
178.710938	-64.535286
179.687500	-64.736572
180.664062	-64.145470
181.640625	-64.686661
182.617188	-65.345917
183.593750	-64.294991
184.570312	-64.416862
185.546875	-65.242973
186.523438	-65.355301
187.500000	-64.349174
188.476562	-64.624146
189.453125	-64.888054
190.429688	-64.996925
191.406250	-64.380287
192.382812	-64.599594
193.359375	-65.459564
194.335938	-64.938797
195.312500	-64.499535
196.289062	-64.924240
197.265625	-65.350822
198.242188	-64.847069
199.218750	-63.997318
200.195312	-65.347557
201.171875	-65.238144
202.148438	-65.250214
203.125000	-64.704918
204.101562	-64.736862
205.078125	-65.141556
206.054688	-65.148994
207.031250	-64.500496
208.007812	-64.272903
208.984375	-64.804024
209.960938	-64.700592
210.937500	-65.216934
211.914062	-65.031998
212.890625	-65.808456
