Frequency (Hz)	Level (dB)
0.976562	-38.857971
1.953125	-43.794773
2.929688	-43.860104
3.906250	-34.551212
4.882812	-44.004551
5.859375	-46.614109
6.835938	-44.799175
7.812500	-35.944324
8.789062	-42.453285
9.765625	-46.689812
10.742188	-45.760597
11.718750	-38.245235
12.695312	-42.172573
13.671875	-47.224754
14.648438	-45.958118
15.625000	-41.145535
16.601562	-43.101688
17.578125	-47.502728
18.554688	-46.594292
19.531250	-42.898457
20.507812	-43.616161
21.484375	-47.542419
22.460938	-47.439083
23.437500	-44.867996
24.414062	-44.041447
25.390625	-48.481232
26.367188	-47.301430
27.343750	-46.413105
28.320312	-43.601597
29.296875	-47.424152
30.273438	-48.130268
31.250000	-47.127090
32.226562	-45.979031
33.203125	-48.763309
34.179688	-49.001019
35.156250	-47.728287
36.132812	-47.018993
37.109375	-48.045509
38.085938	-49.039677
39.062500	-49.130196
40.039062	-45.578308
41.015625	-48.520073
41.992188	-50.330643
42.968750	-50.546509
43.945312	-47.470211
44.921875	-48.422478
45.898438	-50.183552
46.875000	-50.723930
47.851562	-48.168587
48.828125	-49.294331
49.804688	-51.359283
50.781250	-50.268013
51.757812	-49.152889
52.734375	-49.267891
53.710938	-50.811638
54.687500	-51.722099
55.664062	-49.358761
56.640625	-48.166710
57.617188	-49.594116
58.593750	-51.212795
59.570312	-50.565216
60.546875	-50.450222
61.523438	-50.793053
62.500000	-53.174519
63.476562	-50.782471
64.453125	-49.394722
65.429688	-49.855686
66.406250	-52.602402
67.382812	-51.152363
68.359375	-50.563866
69.335938	-48.657608
70.312500	-50.310448
71.289062	-49.984604
72.265625	-49.911694
73.242188	-50.678463
74.218750	-51.177147
75.195312	-50.445278
76.171875	-48.975746
77.148438	-48.920189
78.125000	-52.228874
79.101562	-51.420284
80.078125	-49.669785
81.054688	-50.265881
82.031250	-51.600727
83.007812	-51.438671
83.984375	-50.393410
84.960938	-50.412590
85.937500	-51.520245
86.914062	-50.454323
87.890625	-49.534103
88.867188	-50.677479
89.843750	-49.148781
90.820312	-50.597630
91.796875	-50.219116
92.773438	-50.791885
93.750000	-50.173340
94.726562	-51.095104
95.703125	-50.985920
96.679688	-50.884708
97.656250	-50.250080
98.632812	-50.732552
99.609375	-51.658913
100.585938	-49.990376
101.562500	-51.134991
102.539062	-50.174629
103.515625	-51.611477
104.492188	-49.689999
105.468750	-50.548737
106.445312	-51.983120
107.421875	-51.451298
108.398438	-50.949711
109.375000	-49.750355
110.351562	-50.683510
111.328125	-50.834999
112.304688	-50.417473
113.281250	-50.525421
114.257812	-47.467396
115.234375	-50.192196
116.210938	-51.483494
117.187500	-50.726448
118.164062	-49.050873
119.140625	-49.551624
120.117188	-50.225677
121.093750	-50.077457
122.070312	-49.761494
123.046875	-50.499336
124.023438	-50.870323
125.000000	-50.513630
125.976562	-50.287739
126.953125	-51.116764
127.929688	-51.695694
128.906250	-50.691578
129.882812	-50.947453
130.859375	-49.995609
131.835938	-50.191341
132.812500	-51.456184
133.789062	-49.868847
134.765625	-50.371162
135.742188	-50.520206
136.718750	-49.442482
137.695312	-49.840668
138.671875	-49.412735
139.648438	-48.514389
140.625000	-48.673374
141.601562	-48.263996
142.578125	-49.038143
143.554688	-47.828526
