Frequency (Hz)	Level (dB)
0.976562	-38.983501
1.953125	-41.234352
2.929688	-43.545967
3.906250	-39.388241
4.882812	-44.952984
5.859375	-47.738152
6.835938	-45.013786
7.812500	-39.532608
8.789062	-46.921211
9.765625	-47.667099
10.742188	-46.754818
11.718750	-43.018673
12.695312	-46.770084
13.671875	-49.474514
14.648438	-46.130852
15.625000	-45.940826
16.601562	-48.099350
17.578125	-50.289505
18.554688	-47.675163
19.531250	-47.377487
20.507812	-48.213337
21.484375	-49.422310
22.460938	-48.465157
23.437500	-47.228508
24.414062	-48.179237
25.390625	-50.034821
26.367188	-48.705280
27.343750	-48.372948
28.320312	-48.596668
29.296875	-49.051815
30.273438	-47.442383
31.250000	-48.189976
32.226562	-48.337288
33.203125	-48.898472
34.179688	-48.450329
35.156250	-47.853035
36.132812	-49.040710
37.109375	-49.582962
38.085938	-49.043381
39.062500	-48.196442
40.039062	-49.103382
41.015625	-49.587448
41.992188	-49.619286
42.968750	-49.324112
43.945312	-48.691956
44.921875	-48.885326
45.898438	-49.735043
46.875000	-49.377483
47.851562	-48.911800
48.828125	-49.036880
49.804688	-48.886017
50.781250	-49.487541
51.757812	-49.530262
52.734375	-49.498753
53.710938	-50.318604
54.687500	-49.739735
55.664062	-48.843842
56.640625	-49.206543
57.617188	-49.263748
58.593750	-48.820358
59.570312	-49.612934
60.546875	-49.818748
61.523438	-49.431896
62.500000	-50.224102
63.476562	-49.673164
64.453125	-50.689140
65.429688	-50.018677
66.406250	-49.917976
67.382812	-49.193764
68.359375	-49.739418
69.335938	-49.913498
70.312500	-50.131771
71.289062	-49.828640
72.265625	-49.592384
73.242188	-49.430950
74.218750	-48.989929
75.195312	-50.242828
76.171875	-49.742126
77.148438	-49.752411
78.125000	-50.085041
79.101562	-49.927982
80.078125	-50.402668
81.054688	-50.301880
82.031250	-49.533535
83.007812	-49.420116
83.984375	-49.391438
84.960938	-50.270195
85.937500	-50.101086
86.914062	-50.133686
87.890625	-50.307407
88.867188	-50.450863
89.843750	-50.242222
90.820312	-50.405399
91.796875	-50.278122
92.773438	-49.765377
93.750000	-49.311226
94.726562	-50.101925
95.703125	-49.895226
96.679688	-49.734776
97.656250	-49.646931
98.632812	-48.946022
99.609375	-49.959232
100.585938	-50.567982
101.562500	-49.631401
102.539062	-49.208420
103.515625	-49.754387
104.492188	-50.653797
105.468750	-49.819099
106.445312	-49.732800
107.421875	-49.926044
108.398438	-49.894222
109.375000	-49.231525
110.351562	-49.771423
111.328125	-50.763916
112.304688	-51.206032
113.281250	-50.536911
114.257812	-50.653656
115.234375	-50.276089
116.210938	-50.319187
117.187500	-50.121395
118.164062	-49.411880
119.140625	-49.553387
120.117188	-50.598061
121.093750	-50.291637
122.070312	-50.083172
123.046875	-50.148842
124.023438	-50.415295
125.000000	-49.829823
125.976562	-49.659340
126.953125	-51.211468
127.929688	-50.622440
128.906250	-50.057072
129.882812	-49.643127
130.859375	-49.894993
131.835938	-49.649071
132.812500	-49.519249
133.789062	-50.109638
134.765625	-50.330864
135.742188	-50.031040
136.718750	-49.749317
137.695312	-50.055679
138.671875	-50.642326
139.648438	-50.251102
140.625000	-50.179287
141.601562	-49.302818
142.578125	-49.458370
143.554688	-49.243935
144.531250	-49.340397
145.507812	-49.263569
146.484375	-50.217453
147.460938	-49.939228
148.437500	-49.299007
149.414062	-49.288933
150.390625	-49.617310
151.367188	-49.619980
152.343750	-49.015343
153.320312	-49.731178
154.296875	-48.941917
155.273438	-48.446140
156.250000	-49.548946
157.226562	-49.658306
158.203125	-49.103733
159.179688	-48.252438
160.156250	-50.152092
161.132812	-49.219341
162.109375	-49.206402
163.085938	-49.032795
164.062500	-49.280685
165.039062	-49.153698
166.015625	-49.372906
166.992188	-48.915840
167.968750	-49.328152
168.945312	-49.405239
169.921875	-49.270519
170.898438	-48.854107
171.875000	-48.918877
172.851562	-49.176323
173.828125	-49.194290
174.804688	-46.933357
175.781250	-48.187626
176.757812	-49.378742
177.734375	-48.237003
178.710938	-48.204483
179.687500	-48.864025
180.664062	-48.861549
181.640625	-48.405197
182.617188	-48.524200
183.593750	-49.007133
184.570312	-48.873825
185.546875	-48.770905
186.523438	-48.266895
187.500000	-48.495068
188.476562	-48.677982
189.453125	-49.051437
190.429688	-48.235718
191.406250	-48.815552
192.382812	-49.569168
193.359375	-49.013668
194.335938	-49.336285
195.312500	-48.810947
196.289062	-48.679256
197.265625	-49.017788
198.242188	-49.207996
199.218750	-49.130505
200.195312	-47.870346
201.171875	-49.360233
202.148438	-49.240829
203.125000	-49.088867
204.101562	-50.116047
205.078125	-49.118973
206.054688	-49.441223
207.031250	-49.490845
208.007812	-49.195770
208.984375	-49.184425
209.960938	-49.191353
210.937500	-49.654007
211.914062	-48.919136
212.890625	-49.643383
213.867188	-49.388412
214.843750	-49.291908
215.820312	-49.407768
216.796875	-49.157677
217.773438	-49.257534
218.750000	-49.328407
219.726562	-49.102684
220.703125	-49.007481
221.679688	-50.452103
222.656250	-49.037724
223.632812	-49.676807
224.609375	-48.858906
225.585938	-49.778748
226.562500	-50.540520
227.539062	-50.382248
228.515625	-49.609863
229.492188	-49.664497
230.468750	-49.003670
231.445312	-48.969555
232.421875	-49.810642
233.398438	-50.015518
234.375000	-49.526375
235.351562	-49.999432
236.328125	-50.128330
237.304688	-49.988800
238.281250	-49.739094
239.257812	-48.486065
240.234375	-49.224068
241.210938	-48.788780
242.187500	-49.266804
243.164062	-49.485771
244.140625	-48.929081
245.117188	-49.414860
246.093750	-49.319183
247.070312	-49.948925
248.046875	-49.520309
249.023438	-48.713001
250.000000	-49.697121
250.976562	-49.394077
251.953125	-49.296452
252.929688	-49.507603
253.906250	-48.811386
254.882812	-49.142078
255.859375	-49.569984
256.835938	-49.066700
257.812500	-49.255310
258.789062	-48.774166
259.765625	-49.888371
260.742188	-50.084843
261.718750	-49.471375
262.695312	-48.323185
263.671875	-48.996357
264.648438	-49.064476
265.625000	-49.007099
266.601562	-49.129910
267.578125	-49.199646
268.554688	-48.213333
269.531250	-49.248196
270.507812	-49.294735
271.484375	-47.560596
272.460938	-48.529789
273.437500	-48.549911
274.414062	-49.039696
275.390625	-48.207340
276.367188	-47.890282
277.343750	-49.022629
278.320312	-48.364990
279.296875	-49.011761
280.273438	-49.325935
281.250000	-48.607944
282.226562	-49.306213
283.203125	-48.738480
284.179688	-48.583771
285.156250	-49.134602
286.132812	-48.512684
287.109375	-47.830769
288.085938	-47.876984
289.062500	-48.302238
290.039062	-48.114601
291.015625	-48.122471
291.992188	-47.534157
292.968750	-48.355137
293.945312	-48.531849
294.921875	-48.536526
295.898438	-47.923843
296.875000	-48.599575
297.851562	-47.786339
298.828125	-47.716728
299.804688	-47.449898
300.781250	-47.793293
301.757812	-48.879322
302.734375	-48.389832
303.710938	-48.029556
304.687500	-47.600872
305.664062	-48.397469
306.640625	-47.760334
307.617188	-48.193001
308.593750	-48.036892
309.570312	-48.239609
310.546875	-48.530277
311.523438	-48.622364
312.500000	-47.337162
313.476562	-48.002937
314.453125	-47.581367
315.429688	-48.100273
316.406250	-48.325272
317.382812	-46.693932
318.359375	-48.165031
319.335938	-48.630474
320.312500	-47.246140
321.289062	-47.360359
322.265625	-46.701176
323.242188	-47.464832
324.218750	-47.650814
325.195312	-48.414669
326.171875	-48.010441
327.148438	-47.295494
328.125000	-46.881603
329.101562	-45.927917
330.078125	-47.553883
331.054688	-47.443207
332.031250	-48.125797
333.007812	-48.079090
333.984375	-48.323597
334.960938	-48.252235
335.937500	-47.289101
336.914062	-47.637211
337.890625	-46.931793
338.867188	-47.247887
339.843750	-47.188892
340.820312	-47.419476
341.796875	-47.202568
342.773438	-47.657341
343.750000	-47.812138
344.726562	-46.517792
345.703125	-47.091488
346.679688	-48.520382
347.656250	-47.578156
348.632812	-47.281509
349.609375	-47.574898
350.585938	-47.515240
351.562500	-47.404030
352.539062	-47.755276
353.515625	-46.881542
354.492188	-46.920277
355.468750	-46.935802
356.445312	-46.265095
357.421875	-46.542290
358.398438	-46.767311
359.375000	-47.019920
360.351562	-46.757164
361.328125	-47.145775
362.304688	-46.664074
363.281250	-48.251286
364.257812	-47.558342
365.234375	-47.973652
366.210938	-47.415047
367.187500	-47.940472
368.164062	-49.120949
369.140625	-47.437016
370.117188	-47.968533
371.093750	-48.751171
372.070312	-48.118740
373.046875	-48.058456
374.023438	-47.740009
375.000000	-47.973705
375.976562	-47.707382
376.953125	-48.380424
377.929688	-47.876514
378.906250	-47.636372
379.882812	-48.054203
380.859375	-47.503712
381.835938	-47.760662
382.812500	-48.325119
383.789062	-47.819016
384.765625	-47.464905
385.742188	-48.115246
386.718750	-48.301075
387.695312	-48.264839
388.671875	-48.204170
389.648438	-48.389515
390.625000	-48.592140
391.601562	-48.127491
392.578125	-47.492298
393.554688	-48.456970
394.531250	-48.991493
395.507812	-48.258659
396.484375	-48.105797
397.460938	-47.945847
398.437500	-48.402882
399.414062	-48.205177
400.390625	-48.808846
401.367188	-48.177212
402.343750	-48.958241
403.320312	-47.553429
404.296875	-48.972523
405.273438	-47.993492
406.250000	-47.410671
407.226562	-48.399933
408.203125	-48.768383
409.179688	-48.532833
410.156250	-48.135967
411.132812	-48.207993
412.109375	-48.015781
413.085938	-48.546192
414.062500	-48.123592
415.039062	-48.528778
416.015625	-48.241879
416.992188	-48.931156
417.968750	-48.471474
418.945312	-47.753254
419.921875	-48.731766
420.898438	-47.443008
421.875000	-47.595848
422.851562	-48.074547
423.828125	-48.049118
424.804688	-48.509750
425.781250	-48.558479
426.757812	-47.956264
427.734375	-47.987068
428.710938	-48.019966
429.687500	-48.279804
430.664062	-48.832417
431.640625	-47.831924
432.617188	-48.334389
433.593750	-47.531776
434.570312	-48.129097
435.546875	-48.306732
436.523438	-48.627312
437.500000	-48.250694
438.476562	-48.676880
439.453125	-48.924370
440.429688	-49.550709
441.406250	-49.108479
442.382812	-48.633926
443.359375	-47.898277
444.335938	-48.703186
445.312500	-47.320347
446.289062	-47.804363
447.265625	-47.942291
448.242188	-48.080967
449.218750	-47.660286
450.195312	-48.333290
451.171875	-48.292435
452.148438	-47.993591
453.125000	-49.113373
454.101562	-48.002861
455.078125	-48.890705
456.054688	-48.289116
457.031250	-48.335854
458.007812	-47.788170
458.984375	-47.870090
459.960938	-49.111229
460.937500	-48.060501
461.914062	-47.856167
462.890625	-47.187710
463.867188	-47.260677
464.843750	-47.939461
465.820312	-47.881458
466.796875	-47.502632
467.773438	-47.276447
468.750000	-48.196014
469.726562	-47.245491
470.703125	-47.878651
471.679688	-47.622314
472.656250	-47.204647
473.632812	-47.476868
474.609375	-47.906528
475.585938	-47.632378
476.562500	-47.771446
477.539062	-47.478767
478.515625	-46.055248
479.492188	-47.799625
480.468750	-47.773190
481.445312	-46.710762
482.421875	-46.586601
483.398438	-47.216347
484.375000	-46.709740
485.351562	-46.845684
486.328125	-47.249859
487.304688	-47.673866
488.281250	-46.741581
489.257812	-46.703987
490.234375	-46.620018
491.210938	-46.281780
492.187500	-46.638130
493.164062	-46.337395
494.140625	-45.056252
495.117188	-45.821686
496.093750	-46.220341
497.070312	-45.185352
498.046875	-46.227684
499.023438	-46.612679
500.000000	-46.991436
500.976562	-45.383270
501.953125	-45.938351
502.929688	-47.210461
503.906250	-45.526108
504.882812	-46.815254
505.859375	-45.109009
506.835938	-45.135693
507.812500	-44.878021
508.789062	-45.270714
509.765625	-45.375076
510.742188	-44.914707
511.718750	-45.036880
512.695312	-46.177830
513.671875	-45.054352
514.648438	-45.384220
515.625000	-45.391857
516.601562	-45.466496
517.578125	-45.575535
518.554688	-44.593266
519.531250	-45.262238
520.507812	-45.534237
521.484375	-44.642197
522.460938	-45.595146
523.437500	-44.548431
524.414062	-43.919914
525.390625	-44.163158
526.367188	-44.771072
527.343750	-44.484684
528.320312	-44.235165
529.296875	-43.091740
530.273438	-44.006664
531.250000	-44.010578
532.226562	-43.647480
533.203125	-44.250450
534.179688	-44.754089
535.156250	-44.653656
536.132812	-44.229088
537.109375	-43.713497
538.085938	-44.772587
539.062500	-43.796246
540.039062	-43.839577
541.015625	-44.998440
541.992188	-44.858994
542.968750	-43.191120
543.945312	-43.390717
544.921875	-44.387695
545.898438	-45.422207
546.875000	-46.171230
547.851562	-46.846840
548.828125	-45.565350
549.804688	-46.307560
550.781250	-46.062523
551.757812	-46.075100
552.734375	-45.581306
553.710938	-46.529278
554.687500	-45.832539
555.664062	-46.566032
556.640625	-45.604935
557.617188	-46.290565
558.593750	-45.539471
559.570312	-46.396637
560.546875	-45.954990
561.523438	-45.787395
562.500000	-47.919777
563.476562	-46.866718
564.453125	-46.501724
565.429688	-46.881977
566.406250	-46.377388
567.382812	-46.161861
568.359375	-47.181778
569.335938	-46.813301
570.312500	-46.051811
571.289062	-46.895088
572.265625	-46.427670
573.242188	-46.790451
574.218750	-47.619850
575.195312	-46.263237
576.171875	-46.722881
577.148438	-46.833462
578.125000	-46.738903
579.101562	-46.308712
580.078125	-47.027138
581.054688	-47.156509
582.031250	-46.382729
583.007812	-46.361031
583.984375	-46.718285
584.960938	-46.205540
585.937500	-46.632488
586.914062	-46.414066
587.890625	-46.655354
588.867188	-46.833206
589.843750	-46.705593
590.820312	-46.811291
591.796875	-46.519012
592.773438	-46.938293
593.750000	-47.404884
594.726562	-46.808479
595.703125	-46.014179
596.679688	-47.220905
597.656250	-46.961365
598.632812	-45.896515
599.609375	-46.945633
600.585938	-46.089619
601.562500	-46.727367
602.539062	-46.397137
603.515625	-46.580975
604.492188	-45.903534
605.468750	-46.539795
606.445312	-47.435074
607.421875	-46.739853
608.398438	-46.941494
609.375000	-46.758308
610.351562	-46.178123
611.328125	-46.051521
