Frequency (Hz)	Level (dB)
0.976562	-47.368011
1.953125	-46.443363
2.929688	-47.575367
3.906250	-46.995396
4.882812	-47.069302
5.859375	-46.715240
6.835938	-46.827930
7.812500	-46.406357
8.789062	-45.976948
9.765625	-46.864544
10.742188	-47.579941
11.718750	-46.824657
12.695312	-47.390888
13.671875	-48.228588
14.648438	-47.236336
15.625000	-47.656372
16.601562	-46.822342
17.578125	-47.163872
18.554688	-46.811913
19.531250	-46.493690
20.507812	-46.859398
21.484375	-47.228252
22.460938	-46.965462
23.437500	-46.088749
24.414062	-45.976601
25.390625	-47.442257
26.367188	-47.679993
27.343750	-46.197762
28.320312	-46.648232
29.296875	-46.626827
30.273438	-47.167343
31.250000	-46.856609
32.226562	-46.883083
33.203125	-46.475502
34.179688	-46.942760
35.156250	-47.029289
36.132812	-47.511330
37.109375	-47.109737
38.085938	-47.585037
39.062500	-47.174500
40.039062	-47.051918
41.015625	-46.966801
41.992188	-47.082127
42.968750	-46.975727
43.945312	-46.203472
44.921875	-47.499001
45.898438	-47.406662
46.875000	-47.815716
47.851562	-46.933338
48.828125	-47.091019
49.804688	-46.810555
50.781250	-47.161263
51.757812	-46.551456
52.734375	-46.198875
53.710938	-46.940075
54.687500	-46.898102
55.664062	-47.200096
56.640625	-47.009663
57.617188	-47.516781
58.593750	-47.221107
59.570312	-46.641022
60.546875	-46.473087
61.523438	-46.312126
62.500000	-47.221252
63.476562	-46.793388
64.453125	-47.224476
65.429688	-47.131413
66.406250	-46.727043
67.382812	-46.903522
68.359375	-46.542576
69.335938	-47.317146
70.312500	-47.186436
71.289062	-46.747726
72.265625	-48.033630
73.242188	-47.082359
74.218750	-47.141075
75.195312	-46.926033
76.171875	-47.277176
77.148438	-46.892658
78.125000	-47.175308
79.101562	-47.105587
80.078125	-46.230343
81.054688	-46.528965
82.031250	-47.079830
83.007812	-47.407173
83.984375	-47.193436
84.960938	-46.646996
85.937500	-46.490997
86.914062	-46.139015
87.890625	-46.891724
88.867188	-47.081856
89.843750	-46.879230
90.820312	-46.419891
91.796875	-46.951847
92.773438	-46.629738
93.750000	-46.149384
94.726562	-46.776211
95.703125	-47.089478
96.679688	-46.872635
97.656250	-47.415730
98.632812	-46.931770
99.609375	-46.269608
100.585938	-47.521496
101.562500	-46.938847
102.539062	-47.350021
103.515625	-46.812084
104.492188	-46.655998
105.468750	-46.684414
106.445312	-47.265316
107.421875	-47.075100
108.398438	-46.518005
109.375000	-46.183353
110.351562	-47.199699
111.328125	-46.483391
112.304688	-46.817131
113.281250	-46.689541
114.257812	-46.455666
115.234375	-46.756130
116.210938	-47.268608
117.187500	-46.988308
118.164062	-46.916389
119.140625	-47.601067
120.117188	-46.925877
121.093750	-46.922218
122.070312	-47.352928
123.046875	-46.799862
124.023438	-46.756329
125.000000	-46.759579
125.976562	-47.245136
126.953125	-47.534401
127.929688	-47.655502
128.906250	-46.380737
129.882812	-46.751003
130.859375	-46.329311
131.835938	-47.031246
132.812500	-47.607357
133.789062	-46.747337
134.765625	-47.607651
135.742188	-47.469780
136.718750	-46.465736
137.695312	-46.357075
138.671875	-46.644466
139.648438	-46.791904
140.625000	-47.171734
141.601562	-46.601376
142.578125	-46.486675
143.554688	-46.624706
144.531250	-46.521408
145.507812	-47.049156
146.484375	-47.042587
147.460938	-47.150314
148.437500	-46.668488
149.414062	-47.231586
150.390625	-46.448387
151.367188	-46.267624
152.343750	-47.258892
153.320312	-46.436474
154.296875	-46.957329
155.273438	-45.872540
156.250000	-46.582188
157.226562	-46.983593
158.203125	-46.749104
159.179688	-47.413048
160.156250	-47.655800
161.132812	-46.474953
162.109375	-46.901932
163.085938	-47.298637
164.062500	-46.619598
165.039062	-46.686844
166.015625	-46.397850
166.992188	-46.871277
167.968750	-46.961121
168.945312	-48.036396
169.921875	-47.335205
170.898438	-47.453648
171.875000	-47.161564
172.851562	-47.008350
173.828125	-47.528431
174.804688	-47.643341
175.781250	-46.601166
176.757812	-47.074333
177.734375	-46.602459
178.710938	-46.459057
179.687500	-46.896446
180.664062	-46.339397
181.640625	-46.708950
182.617188	-46.804321
183.593750	-47.038830
184.570312	-46.912224
185.546875	-47.591137
186.523438	-47.452702
187.500000	-46.846054
188.476562	-47.188072
189.453125	-47.116535
190.429688	-47.301800
191.406250	-46.839874
192.382812	-46.790100
193.359375	-46.773903
194.335938	-47.093296
195.312500	-47.207478
196.289062	-47.140938
197.265625	-47.411419
198.242188	-47.325253
199.218750	-47.252895
200.195312	-47.083839
201.171875	-47.205669
202.148438	-47.619308
203.125000	-47.185616
204.101562	-46.599052
205.078125	-46.700199
206.054688	-46.901936
207.031250	-46.783192
208.007812	-46.671059
208.984375	-46.755867
209.960938	-46.700203
210.937500	-47.167145
211.914062	-46.582645
212.890625	-47.240841
213.867188	-46.555603
214.843750	-46.377701
215.820312	-46.637959
216.796875	-47.239086
217.773438	-46.358700
218.750000	-46.666313
219.726562	-47.264870
220.703125	-47.008999
221.679688	-46.694801
222.656250	-47.393517
223.632812	-47.217316
224.609375	-47.382118
225.585938	-46.747051
226.562500	-46.436695
227.539062	-47.325275
228.515625	-47.530182
229.492188	-46.817108
230.468750	-46.756775
231.445312	-47.629677
232.421875	-47.429325
233.398438	-46.775036
234.375000	-46.810730
235.351562	-47.081558
236.328125	-46.985271
237.304688	-46.117771
238.281250	-46.063221
239.257812	-46.903488
240.234375	-46.179913
241.210938	-46.791199
242.187500	-47.255547
243.164062	-47.036766
244.140625	-46.967583
245.117188	-46.736904
246.093750	-46.750568
247.070312	-46.452263
248.046875	-46.828644
249.023438	-47.616211
250.000000	-47.112686
250.976562	-46.301147
251.953125	-47.264114
252.929688	-47.046391
253.906250	-46.941181
254.882812	-46.696648
255.859375	-46.730976
256.835938	-46.893394
257.812500	-47.146957
258.789062	-47.155800
259.765625	-47.089497
260.742188	-47.170757
261.718750	-47.398670
262.695312	-46.539379
263.671875	-47.094147
264.648438	-45.879448
265.625000	-46.456062
