Frequency (Hz)	Level (dB)
0.976562	-36.180454
1.953125	-42.827866
2.929688	-42.860245
3.906250	-36.609501
4.882812	-42.070930
5.859375	-44.847939
6.835938	-42.951660
7.812500	-34.901947
8.789062	-40.004860
9.765625	-45.864601
10.742188	-44.499420
11.718750	-38.411884
12.695312	-39.336174
13.671875	-45.736958
14.648438	-45.706608
15.625000	-40.296024
16.601562	-40.701027
17.578125	-46.181797
18.554688	-46.441830
19.531250	-43.114807
20.507812	-42.367424
21.484375	-45.182491
22.460938	-47.031799
23.437500	-44.963562
24.414062	-42.172977
25.390625	-45.875565
26.367188	-47.722958
27.343750	-45.263363
28.320312	-43.399494
29.296875	-45.575844
30.273438	-47.352165
31.250000	-46.386913
32.226562	-43.522453
33.203125	-43.740944
34.179688	-46.123409
35.156250	-47.397945
36.132812	-44.997044
37.109375	-43.822563
38.085938	-45.928909
39.062500	-47.020565
40.039062	-43.852482
41.015625	-43.881977
41.992188	-43.677711
42.968750	-47.261063
43.945312	-46.283390
44.921875	-46.842430
45.898438	-44.901478
46.875000	-47.122429
47.851562	-47.032814
48.828125	-48.374016
49.804688	-47.000011
50.781250	-48.489254
51.757812	-46.536030
52.734375	-47.009384
53.710938	-48.295326
54.687500	-49.337822
55.664062	-49.126156
56.640625	-47.558338
57.617188	-47.072571
58.593750	-49.724487
59.570312	-48.361595
60.546875	-47.618782
61.523438	-47.260353
62.500000	-47.717426
63.476562	-45.969730
64.453125	-46.764526
65.429688	-48.193363
66.406250	-47.916733
67.382812	-46.321846
68.359375	-46.842121
69.335938	-49.474705
70.312500	-48.348949
71.289062	-47.889053
72.265625	-47.252773
73.242188	-49.410805
74.218750	-48.998161
75.195312	-45.452621
76.171875	-46.342529
77.148438	-49.560181
78.125000	-50.558144
79.101562	-47.653763
80.078125	-47.146221
81.054688	-49.148628
82.031250	-51.610035
83.007812	-47.458324
83.984375	-48.596092
84.960938	-48.452564
85.937500	-50.862438
86.914062	-47.838463
87.890625	-46.383713
88.867188	-49.413235
89.843750	-49.375351
90.820312	-48.316654
91.796875	-47.774582
92.773438	-48.759899
93.750000	-50.013302
94.726562	-47.703907
95.703125	-45.361362
96.679688	-47.319641
97.656250	-49.882542
98.632812	-49.268112
99.609375	-47.491226
100.585938	-47.918182
101.562500	-50.626598
102.539062	-49.219154
103.515625	-46.966019
104.492188	-49.291473
105.468750	-50.973408
106.445312	-48.351154
107.421875	-46.546616
108.398438	-47.282928
109.375000	-49.442596
110.351562	-49.517117
111.328125	-47.698822
112.304688	-46.380543
113.281250	-48.841732
114.257812	-49.034340
115.234375	-47.314671
116.210938	-45.877918
117.187500	-47.317112
118.164062	-48.170353
119.140625	-47.135380
120.117188	-48.161980
121.093750	-49.663795
122.070312	-49.009884
123.046875	-47.566269
124.023438	-46.337517
125.000000	-47.837757
125.976562	-48.320057
126.953125	-49.264759
127.929688	-49.078770
128.906250	-48.216759
129.882812	-49.051678
130.859375	-49.446449
131.835938	-48.446072
132.812500	-46.729931
133.789062	-47.065292
134.765625	-47.784695
135.742188	-46.455830
136.718750	-47.292408
137.695312	-48.798901
138.671875	-48.621246
139.648438	-48.927521
140.625000	-47.093887
141.601562	-47.391891
142.578125	-47.402763
143.554688	-47.095005
144.531250	-46.246498
145.507812	-47.174480
146.484375	-47.355568
147.460938	-47.560726
148.437500	-46.960613
149.414062	-46.827667
150.390625	-47.452908
151.367188	-46.080158
152.343750	-46.262863
153.320312	-47.185219
154.296875	-46.705544
155.273438	-47.424477
156.250000	-45.799263
157.226562	-47.122757
158.203125	-46.347954
159.179688	-46.438274
160.156250	-46.390129
161.132812	-46.060314
162.109375	-46.155518
163.085938	-45.865170
164.062500	-44.946159
165.039062	-44.412125
166.015625	-45.254028
166.992188	-43.611992
167.968750	-43.993805
168.945312	-45.248287
169.921875	-44.801926
170.898438	-44.973518
171.875000	-44.525764
172.851562	-44.725136
173.828125	-44.546951
174.804688	-45.540142
175.781250	-44.345570
176.757812	-43.955223
177.734375	-43.556107
178.710938	-43.754578
179.687500	-43.037479
180.664062	-41.301132
181.640625	-41.277569
182.617188	-40.416988
183.593750	-40.171196
184.570312	-40.185936
185.546875	-40.402687
186.523438	-39.871086
187.500000	-37.896301
188.476562	-38.311237
189.453125	-39.284328
190.429688	-39.286541
191.406250	-37.999622
192.382812	-36.324417
193.359375	-38.409958
194.335938	-39.040596
195.312500	-38.212120
196.289062	-37.216442
197.265625	-40.215458
198.242188	-41.269520
199.218750	-40.765518
200.195312	-40.417545
201.171875	-40.233646
202.148438	-41.814346
203.125000	-42.391827
204.101562	-41.989616
205.078125	-41.503181
206.054688	-43.089577
207.031250	-43.159801
208.007812	-42.884739
208.984375	-42.826244
209.960938	-43.416584
210.937500	-43.464870
211.914062	-43.980068
212.890625	-42.879917
213.867188	-45.157330
214.843750	-44.848320
215.820312	-45.207428
216.796875	-44.435661
217.773438	-46.292728
218.750000	-46.664242
219.726562	-45.976002
220.703125	-44.857418
221.679688	-45.604069
222.656250	-46.424416
223.632812	-47.262928
224.609375	-45.867058
225.585938	-44.442871
226.562500	-46.440559
227.539062	-47.331646
228.515625	-47.101131
229.492188	-46.799534
230.468750	-46.847408
231.445312	-47.490219
232.421875	-47.368687
233.398438	-46.448799
234.375000	-46.563473
235.351562	-46.267387
236.328125	-45.846443
237.304688	-45.859924
238.281250	-46.751270
239.257812	-47.639778
240.234375	-48.261559
241.210938	-46.418674
242.187500	-47.128471
243.164062	-48.721455
244.140625	-49.442719
245.117188	-48.707336
246.093750	-47.977348
247.070312	-48.824341
248.046875	-48.716076
249.023438	-47.546154
250.000000	-48.086952
250.976562	-48.495647
251.953125	-49.213120
252.929688	-47.784504
253.906250	-49.574123
254.882812	-49.715145
255.859375	-48.473343
256.835938	-48.726585
257.812500	-49.332214
258.789062	-49.563423
259.765625	-50.410919
260.742188	-49.593849
261.718750	-48.000061
262.695312	-49.280376
263.671875	-48.712635
264.648438	-49.602089
265.625000	-49.087807
266.601562	-49.129398
267.578125	-50.372776
268.554688	-48.451126
269.531250	-48.861511
270.507812	-48.531509
271.484375	-49.281963
272.460938	-50.269814
273.437500	-48.444363
274.414062	-49.936836
275.390625	-48.645012
276.367188	-48.816921
277.343750	-49.359123
278.320312	-49.403645
279.296875	-49.309177
280.273438	-50.151501
281.250000	-50.067116
282.226562	-49.800835
283.203125	-48.988808
284.179688	-49.799858
285.156250	-50.461414
286.132812	-51.018433
287.109375	-50.247658
288.085938	-49.411934
289.062500	-49.501698
290.039062	-50.318722
291.015625	-49.842129
291.992188	-49.411922
292.968750	-49.202515
293.945312	-49.910122
294.921875	-50.049160
295.898438	-50.902687
296.875000	-49.979092
297.851562	-49.107475
298.828125	-49.897499
299.804688	-49.907131
300.781250	-49.442867
301.757812	-49.389091
302.734375	-49.621506
303.710938	-49.832287
304.687500	-49.449631
305.664062	-49.119720
306.640625	-49.370697
307.617188	-49.908131
308.593750	-49.566494
309.570312	-48.927334
310.546875	-49.044090
311.523438	-49.151043
312.500000	-49.237469
313.476562	-47.849289
314.453125	-48.416935
315.429688	-47.630520
316.406250	-48.181084
317.382812	-47.947239
318.359375	-48.011570
319.335938	-47.371758
320.312500	-48.129929
321.289062	-48.326435
322.265625	-48.114773
323.242188	-48.230064
324.218750	-47.791370
325.195312	-47.393475
326.171875	-48.116749
327.148438	-49.148834
328.125000	-47.383865
329.101562	-47.297169
330.078125	-47.465908
331.054688	-47.307869
332.031250	-47.024330
333.007812	-46.869778
333.984375	-48.419380
334.960938	-48.427666
335.937500	-47.444191
336.914062	-47.703754
337.890625	-46.383762
338.867188	-46.499886
339.843750	-47.816402
340.820312	-47.966843
341.796875	-47.277958
342.773438	-47.178013
343.750000	-46.234348
344.726562	-45.863365
345.703125	-45.584328
346.679688	-45.272606
347.656250	-46.132133
348.632812	-46.297680
349.609375	-45.065762
350.585938	-45.888329
351.562500	-46.267326
352.539062	-45.229595
353.515625	-44.521458
354.492188	-44.713032
355.468750	-44.520714
356.445312	-43.389935
357.421875	-42.819145
358.398438	-43.072674
359.375000	-41.775623
360.351562	-41.842289
361.328125	-42.731766
362.304688	-43.098179
363.281250	-42.597076
364.257812	-42.580444
365.234375	-42.335548
366.210938	-41.831535
367.187500	-42.088570
368.164062	-42.097103
369.140625	-41.773243
370.117188	-40.973591
371.093750	-41.693726
372.070312	-41.768650
373.046875	-42.346291
374.023438	-42.566929
375.000000	-42.807804
375.976562	-43.934555
376.953125	-44.099930
377.929688	-43.671932
378.906250	-43.969040
379.882812	-44.522636
380.859375	-44.731987
381.835938	-44.287624
382.812500	-44.782242
383.789062	-44.822128
384.765625	-44.758038
385.742188	-45.016552
386.718750	-45.529278
387.695312	-45.589001
388.671875	-46.670063
389.648438	-45.778530
390.625000	-45.568703
391.601562	-46.072628
392.578125	-45.210144
393.554688	-45.705936
394.531250	-46.482235
395.507812	-45.873657
396.484375	-45.912430
397.460938	-45.927853
398.437500	-46.064957
399.414062	-46.733379
400.390625	-45.853474
401.367188	-46.012669
402.343750	-45.665550
403.320312	-45.300152
404.296875	-47.153358
405.273438	-46.082966
406.250000	-46.610832
407.226562	-47.879471
408.203125	-47.759018
409.179688	-46.245033
410.156250	-46.538437
411.132812	-47.151852
412.109375	-47.149128
413.085938	-46.966908
414.062500	-44.984425
415.039062	-46.139172
416.015625	-46.936443
416.992188	-48.213017
417.968750	-48.053154
418.945312	-46.856422
419.921875	-47.120373
420.898438	-47.772152
421.875000	-48.278828
422.851562	-47.182533
423.828125	-48.180607
424.804688	-48.684364
425.781250	-47.832169
426.757812	-47.437210
427.734375	-46.905411
428.710938	-48.253960
429.687500	-48.569454
430.664062	-48.136066
431.640625	-47.042419
432.617188	-48.857063
433.593750	-49.396454
434.570312	-48.601341
435.546875	-49.130272
436.523438	-50.257454
437.500000	-49.327042
438.476562	-49.678974
439.453125	-49.207916
440.429688	-49.292435
441.406250	-49.778751
442.382812	-50.153915
443.359375	-48.427185
444.335938	-49.619244
445.312500	-50.177685
446.289062	-48.160778
447.265625	-49.218548
448.242188	-49.898369
449.218750	-49.691196
450.195312	-49.939396
451.171875	-49.654907
452.148438	-49.522633
453.125000	-50.010071
454.101562	-49.770378
455.078125	-49.360203
456.054688	-50.679428
457.031250	-51.442841
458.007812	-50.692245
458.984375	-48.900925
459.960938	-49.595444
460.937500	-50.669621
461.914062	-50.405491
462.890625	-49.498695
463.867188	-50.188225
464.843750	-50.293518
465.820312	-49.531696
466.796875	-49.451118
467.773438	-50.960182
468.750000	-49.808060
469.726562	-49.958942
470.703125	-49.432068
471.679688	-50.240971
472.656250	-50.993004
473.632812	-50.970661
474.609375	-50.140152
475.585938	-49.074459
476.562500	-49.558281
477.539062	-49.480019
478.515625	-50.175644
479.492188	-50.602055
480.468750	-48.861141
481.445312	-48.646519
482.421875	-49.158379
483.398438	-48.613468
484.375000	-49.228462
485.351562	-49.883545
486.328125	-49.514847
487.304688	-49.757885
488.281250	-48.010605
489.257812	-49.632858
490.234375	-48.065014
491.210938	-47.420856
492.187500	-48.837608
493.164062	-49.074322
494.140625	-48.294140
495.117188	-48.203678
496.093750	-48.855442
497.070312	-49.085209
498.046875	-48.552185
499.023438	-47.558014
500.000000	-47.698597
500.976562	-46.307945
501.953125	-47.061810
502.929688	-46.896877
503.906250	-46.664520
504.882812	-47.267883
505.859375	-47.719910
506.835938	-47.171776
507.812500	-46.460880
508.789062	-46.432533
509.765625	-45.768833
510.742188	-46.257538
511.718750	-46.381435
512.695312	-46.086815
513.671875	-46.186714
514.648438	-46.762951
515.625000	-45.639000
516.601562	-44.714439
517.578125	-45.054794
518.554688	-45.067867
519.531250	-45.638748
520.507812	-45.485748
521.484375	-45.253868
522.460938	-44.670448
523.437500	-44.173737
524.414062	-45.385670
525.390625	-43.810978
526.367188	-44.042660
527.343750	-44.525669
528.320312	-43.939590
529.296875	-43.882763
530.273438	-43.028378
531.250000	-42.679348
532.226562	-42.794357
533.203125	-42.558647
534.179688	-42.691071
535.156250	-42.202736
536.132812	-42.243210
537.109375	-41.627205
538.085938	-41.206661
539.062500	-41.544792
540.039062	-40.114120
541.015625	-40.514744
541.992188	-40.482536
542.968750	-39.380768
543.945312	-39.688175
544.921875	-39.213726
545.898438	-38.402626
546.875000	-38.878757
547.851562	-37.691410
548.828125	-38.210342
549.804688	-39.451706
550.781250	-39.879990
551.757812	-39.064220
552.734375	-40.106899
553.710938	-39.881618
554.687500	-39.836357
555.664062	-39.946903
556.640625	-39.939468
557.617188	-40.286804
558.593750	-39.805099
559.570312	-40.574821
560.546875	-41.040154
561.523438	-40.459244
562.500000	-41.599499
563.476562	-41.039982
564.453125	-41.984074
565.429688	-42.046474
566.406250	-42.874146
567.382812	-41.870716
568.359375	-43.024204
569.335938	-42.650425
570.312500	-41.440315
571.289062	-41.644112
572.265625	-43.315914
573.242188	-43.174454
574.218750	-44.090786
575.195312	-43.249931
576.171875	-43.278107
577.148438	-43.589790
578.125000	-44.530331
579.101562	-43.485714
580.078125	-43.737198
581.054688	-45.121807
582.031250	-45.181534
583.007812	-43.582108
583.984375	-44.820065
584.960938	-44.969177
585.937500	-44.190578
586.914062	-45.623886
587.890625	-44.485184
588.867188	-46.656483
589.843750	-45.540867
590.820312	-45.012260
591.796875	-45.955677
592.773438	-46.940739
593.750000	-46.827473
594.726562	-44.817627
595.703125	-45.223137
596.679688	-46.591740
597.656250	-46.033417
598.632812	-45.181370
599.609375	-45.203037
600.585938	-46.421730
601.562500	-47.406521
602.539062	-46.630375
603.515625	-46.397430
604.492188	-47.935722
605.468750	-47.555386
606.445312	-46.686066
607.421875	-47.668945
608.398438	-47.640629
609.375000	-47.586433
610.351562	-46.474834
611.328125	-46.944519
612.304688	-48.232731
613.281250	-48.652279
614.257812	-46.829128
615.234375	-46.288403
616.210938	-47.914928
617.187500	-47.263969
618.164062	-46.765106
619.140625	-48.341953
620.117188	-47.878147
621.093750	-47.209297
622.070312	-47.729530
623.046875	-47.234200
624.023438	-48.142097
625.000000	-49.740105
625.976562	-48.665985
626.953125	-48.779266
627.929688	-47.058121
628.906250	-47.384563
629.882812	-48.858017
630.859375	-48.826855
631.835938	-48.820644
632.812500	-48.506577
633.789062	-48.236782
634.765625	-48.308163
635.742188	-47.085323
636.718750	-47.815083
637.695312	-49.196812
638.671875	-49.318462
639.648438	-48.254395
640.625000	-48.664368
641.601562	-48.148724
642.578125	-49.241367
643.554688	-48.770699
644.531250	-47.471951
645.507812	-47.622993
646.484375	-47.546848
647.460938	-48.213078
648.437500	-48.987030
649.414062	-47.540577
650.390625	-47.932362
651.367188	-48.644833
652.343750	-48.593113
653.320312	-48.143627
654.296875	-48.563046
655.273438	-47.457199
656.250000	-48.402336
657.226562	-48.442204
658.203125	-46.985954
659.179688	-48.066162
660.156250	-46.895275
661.132812	-46.056007
662.109375	-46.004875
663.085938	-45.760223
664.062500	-47.652542
665.039062	-46.194973
666.015625	-44.946674
666.992188	-45.430424
667.968750	-46.127144
668.945312	-46.247173
669.921875	-44.305176
670.898438	-44.747990
671.875000	-45.496998
672.851562	-44.263470
673.828125	-43.329342
674.804688	-43.793991
675.781250	-44.846809
676.757812	-42.134254
677.734375	-43.444939
678.710938	-42.673828
679.687500	-42.920891
680.664062	-43.400555
681.640625	-43.478493
682.617188	-42.888908
683.593750	-42.830765
684.570312	-43.061371
685.546875	-42.267014
686.523438	-41.487431
687.500000	-40.380314
688.476562	-41.606091
689.453125	-41.961353
690.429688	-41.336975
691.406250	-40.294338
692.382812	-41.331478
693.359375	-40.273846
694.335938	-39.516979
695.312500	-39.672062
696.289062	-40.373463
697.265625	-40.508224
698.242188	-40.633881
699.218750	-40.891171
700.195312	-39.688366
701.171875	-39.458431
702.148438	-38.606422
703.125000	-39.951389
704.101562	-38.846340
705.078125	-39.746731
706.054688	-38.624611
707.031250	-38.783066
708.007812	-39.332901
708.984375	-38.285812
709.960938	-38.149574
710.937500	-38.128532
711.914062	-37.908955
712.890625	-37.612873
713.867188	-37.894684
714.843750	-36.965382
715.820312	-36.945995
716.796875	-36.468594
717.773438	-36.012463
718.750000	-34.959488
719.726562	-34.649609
720.703125	-35.342316
721.679688	-34.627094
722.656250	-34.282940
723.632812	-33.377987
724.609375	-32.977898
725.585938	-32.943073
726.562500	-32.708591
727.539062	-32.495434
728.515625	-32.062164
729.492188	-32.857300
730.468750	-31.920916
731.445312	-32.167927
732.421875	-32.383549
733.398438	-32.990837
734.375000	-32.070721
735.351562	-33.346790
736.328125	-32.242573
737.304688	-33.547760
738.281250	-33.879745
739.257812	-33.200970
740.234375	-34.617001
741.210938	-35.237755
742.187500	-34.412098
743.164062	-34.474796
744.140625	-33.569687
745.117188	-35.309437
746.093750	-35.717522
747.070312	-36.049717
748.046875	-35.917923
749.023438	-36.376328
750.000000	-36.513317
750.976562	-37.123600
751.953125	-37.000175
752.929688	-37.163395
753.906250	-36.995514
754.882812	-36.960575
755.859375	-36.940147
756.835938	-36.856575
757.812500	-38.000793
758.789062	-38.917866
759.765625	-38.742741
760.742188	-39.238358
761.718750	-38.998741
762.695312	-38.132454
763.671875	-38.096554
764.648438	-38.943863
765.625000	-38.097065
766.601562	-38.218941
767.578125	-39.130554
768.554688	-38.820610
769.531250	-38.184372
770.507812	-38.750160
771.484375	-39.193691
772.460938	-38.702332
773.437500	-39.069305
774.414062	-38.840824
775.390625	-40.042152
776.367188	-39.668247
777.343750	-39.342934
778.320312	-40.308559
779.296875	-40.264484
780.273438	-39.621651
781.250000	-40.535805
782.226562	-40.155109
783.203125	-41.809032
784.179688	-41.871056
785.156250	-41.621902
786.132812	-42.530411
787.109375	-42.439777
788.085938	-42.427254
789.062500	-42.241272
790.039062	-42.154869
791.015625	-42.882759
791.992188	-42.301559
792.968750	-42.871529
793.945312	-43.354359
794.921875	-43.168404
795.898438	-44.084335
796.875000	-43.033772
797.851562	-43.954121
798.828125	-44.003296
799.804688	-43.667107
800.781250	-43.286751
801.757812	-45.997593
802.734375	-43.422726
803.710938	-44.304928
804.687500	-45.224430
805.664062	-46.078106
806.640625	-43.862877
807.617188	-44.046303
808.593750	-44.803596
809.570312	-45.639202
810.546875	-44.675354
811.523438	-45.236382
812.500000	-44.404888
813.476562	-44.674576
814.453125	-44.100895
815.429688	-44.492268
816.406250	-44.867245
817.382812	-44.969917
818.359375	-44.428879
819.335938	-44.890491
820.312500	-45.060799
821.289062	-44.010025
822.265625	-43.722450
823.242188	-43.804401
824.218750	-44.561081
825.195312	-44.297241
826.171875	-46.222668
827.148438	-45.155415
828.125000	-43.730961
829.101562	-44.549606
830.078125	-44.276730
831.054688	-43.811802
832.031250	-44.972591
833.007812	-44.162235
833.984375	-42.712673
834.960938	-42.901527
835.937500	-41.605179
836.914062	-40.991722
837.890625	-41.422649
838.867188	-42.842762
839.843750	-41.485111
840.820312	-39.850124
841.796875	-42.688419
842.773438	-41.875015
843.750000	-40.744587
844.726562	-37.771923
845.703125	-38.374016
846.679688	-37.923431
847.656250	-36.777790
848.632812	-35.736534
849.609375	-36.130695
850.585938	-38.458523
851.562500	-37.617233
852.539062	-34.050743
853.515625	-34.038418
854.492188	-35.011223
855.468750	-35.045692
856.445312	-32.858154
857.421875	-33.843960
858.398438	-31.828882
859.375000	-33.650532
860.351562	-32.211037
861.328125	-30.392937
862.304688	-31.559566
863.281250	-34.107296
864.257812	-31.150841
865.234375	-29.719995
866.210938	-29.014418
