Frequency (Hz)	Level (dB)
0.976562	-35.618877
1.953125	-41.897919
2.929688	-42.180904
3.906250	-34.152229
4.882812	-40.781792
5.859375	-46.074829
6.835938	-43.567032
7.812500	-34.099346
8.789062	-34.766911
9.765625	-44.071297
10.742188	-44.260872
11.718750	-37.822598
12.695312	-35.417950
13.671875	-45.643120
14.648438	-47.308491
15.625000	-41.407917
16.601562	-35.576084
17.578125	-46.005947
18.554688	-46.986534
19.531250	-42.745636
20.507812	-38.157181
21.484375	-45.630688
22.460938	-48.192017
23.437500	-43.981609
24.414062	-40.534111
25.390625	-43.308208
26.367188	-47.870846
27.343750	-44.551010
28.320312	-41.802277
29.296875	-42.078632
30.273438	-46.984451
31.250000	-44.781376
32.226562	-41.560856
33.203125	-39.434170
34.179688	-45.505348
35.156250	-46.364792
36.132812	-44.659584
37.109375	-42.563999
38.085938	-45.912006
39.062500	-46.451355
40.039062	-45.643070
41.015625	-41.097343
41.992188	-44.710350
42.968750	-47.620411
43.945312	-47.339149
44.921875	-42.853645
45.898438	-41.821877
46.875000	-46.156399
47.851562	-47.533791
48.828125	-44.816021
49.804688	-42.703884
50.781250	-46.649151
51.757812	-48.663097
52.734375	-45.593456
53.710938	-43.162960
54.687500	-45.882267
55.664062	-49.072014
56.640625	-46.737503
57.617188	-42.484241
58.593750	-45.181950
59.570312	-49.117981
60.546875	-47.414692
61.523438	-45.366623
62.500000	-46.224644
63.476562	-49.008858
64.453125	-48.794735
65.429688	-46.274975
66.406250	-44.278637
67.382812	-48.161819
68.359375	-48.392662
69.335938	-47.382164
70.312500	-44.835438
71.289062	-48.692627
72.265625	-49.633919
73.242188	-46.844273
74.218750	-45.074665
75.195312	-47.662682
76.171875	-49.878212
77.148438	-47.450085
78.125000	-46.237045
79.101562	-46.332008
80.078125	-50.565598
81.054688	-47.385761
82.031250	-47.855885
83.007812	-47.417904
83.984375	-50.584290
84.960938	-50.107727
85.937500	-49.520348
86.914062	-45.672169
87.890625	-49.727901
88.867188	-50.183399
89.843750	-48.200550
90.820312	-47.340084
91.796875	-47.772953
92.773438	-49.493999
93.750000	-48.169086
94.726562	-47.222931
95.703125	-48.343647
96.679688	-50.060043
97.656250	-47.665146
98.632812	-46.529324
99.609375	-46.666012
100.585938	-49.794346
101.562500	-48.757298
102.539062	-45.960106
103.515625	-46.601669
104.492188	-49.183281
105.468750	-49.011257
106.445312	-47.642628
107.421875	-47.498714
108.398438	-50.770164
109.375000	-49.336361
110.351562	-46.325294
111.328125	-45.446857
112.304688	-47.835880
113.281250	-48.654907
114.257812	-49.518379
115.234375	-44.413670
116.210938	-44.980541
117.187500	-48.717453
118.164062	-47.495773
119.140625	-45.659336
120.117188	-44.693729
121.093750	-48.252937
122.070312	-49.324024
123.046875	-48.077179
124.023438	-46.955540
125.000000	-46.171307
125.976562	-47.163212
126.953125	-47.849155
127.929688	-45.257889
128.906250	-46.585766
129.882812	-48.869370
130.859375	-50.254364
131.835938	-47.422390
132.812500	-47.734852
133.789062	-48.563957
134.765625	-49.245007
135.742188	-48.192486
136.718750	-48.746418
137.695312	-49.134956
138.671875	-48.673504
139.648438	-47.558247
140.625000	-48.829052
141.601562	-50.490891
142.578125	-49.240311
143.554688	-48.587196
144.531250	-49.627464
145.507812	-48.540882
146.484375	-47.751534
147.460938	-48.665287
148.437500	-49.627068
149.414062	-48.601753
150.390625	-49.886848
151.367188	-51.118263
152.343750	-50.244461
153.320312	-48.820225
154.296875	-48.813961
155.273438	-50.356792
156.250000	-51.224445
157.226562	-49.621517
158.203125	-50.235573
159.179688	-49.936100
160.156250	-50.033237
161.132812	-49.671284
162.109375	-49.410454
163.085938	-50.654213
164.062500	-51.241009
165.039062	-49.898766
166.015625	-48.991261
166.992188	-50.807873
167.968750	-50.114315
168.945312	-49.454193
169.921875	-50.157204
170.898438	-49.979557
171.875000	-51.172115
172.851562	-49.726864
173.828125	-47.652485
174.804688	-49.105106
175.781250	-49.501461
176.757812	-49.245930
177.734375	-46.851936
178.710938	-46.354160
179.687500	-46.691605
180.664062	-46.387760
181.640625	-45.744709
182.617188	-45.425865
183.593750	-45.144047
184.570312	-45.303440
185.546875	-42.056683
186.523438	-40.308582
187.500000	-44.842209
188.476562	-46.397541
189.453125	-47.030975
190.429688	-48.394367
191.406250	-47.923592
192.382812	-49.384636
193.359375	-49.526203
194.335938	-49.618401
195.312500	-49.571762
196.289062	-50.055202
197.265625	-50.501499
198.242188	-49.016884
199.218750	-50.201744
200.195312	-48.788013
201.171875	-49.383812
202.148438	-48.746746
203.125000	-48.822720
204.101562	-50.236946
205.078125	-51.057217
206.054688	-49.554890
207.031250	-49.841553
208.007812	-50.470150
208.984375	-51.302624
209.960938	-50.752811
210.937500	-49.532833
211.914062	-52.370098
212.890625	-51.386383
213.867188	-50.910397
214.843750	-49.496841
215.820312	-51.859978
216.796875	-52.887547
217.773438	-50.996754
218.750000	-50.423756
219.726562	-50.929146
220.703125	-51.898922
221.679688	-52.915176
222.656250	-51.923946
223.632812	-50.412209
224.609375	-51.342300
225.585938	-51.428226
226.562500	-51.746925
227.539062	-50.563206
228.515625	-51.571888
229.492188	-52.606251
230.468750	-52.448021
231.445312	-50.831970
232.421875	-51.239830
233.398438	-52.196678
234.375000	-51.041897
235.351562	-51.352863
236.328125	-51.356251
237.304688	-50.718685
238.281250	-52.114010
239.257812	-51.297295
240.234375	-50.839008
241.210938	-53.297493
242.187500	-53.182522
243.164062	-51.486164
244.140625	-53.070675
245.117188	-51.509792
246.093750	-52.486759
247.070312	-52.510216
248.046875	-52.094452
249.023438	-52.359852
