Frequency (Hz)	Level (dB)
0.976562	-53.284981
1.953125	-58.635830
2.929688	-55.379562
3.906250	-53.423225
4.882812	-61.266453
5.859375	-60.532383
6.835938	-52.844166
7.812500	-55.770008
8.789062	-60.515514
9.765625	-58.378963
10.742188	-54.097179
11.718750	-59.700691
12.695312	-60.507858
13.671875	-55.612976
14.648438	-53.922279
15.625000	-60.583305
16.601562	-60.077160
17.578125	-54.836086
18.554688	-56.917114
19.531250	-60.967113
20.507812	-58.054630
21.484375	-54.633274
22.460938	-58.676853
23.437500	-60.612545
24.414062	-57.260666
25.390625	-56.091534
26.367188	-59.226334
27.343750	-59.256413
28.320312	-56.346237
29.296875	-58.029427
30.273438	-60.298042
31.250000	-58.493130
32.226562	-56.502571
33.203125	-58.150372
34.179688	-59.333569
35.156250	-57.212715
36.132812	-57.208725
37.109375	-59.437279
38.085938	-58.690697
39.062500	-57.773605
40.039062	-60.310719
41.015625	-60.516678
41.992188	-58.511524
42.968750	-58.111103
43.945312	-59.981293
44.921875	-59.255314
45.898438	-57.823696
46.875000	-58.980885
47.851562	-60.468449
48.828125	-58.627937
49.804688	-59.222309
50.781250	-59.665802
51.757812	-60.159966
52.734375	-58.924484
53.710938	-58.698948
54.687500	-60.645828
55.664062	-60.254616
56.640625	-59.249622
57.617188	-59.984283
58.593750	-60.306927
59.570312	-59.581524
60.546875	-59.545895
61.523438	-61.071976
62.500000	-60.491070
63.476562	-59.511154
64.453125	-60.096153
65.429688	-59.914646
66.406250	-59.597065
67.382812	-60.469891
68.359375	-60.049774
69.335938	-60.184067
70.312500	-60.819187
71.289062	-61.208870
72.265625	-60.835682
73.242188	-60.433411
74.218750	-61.068764
75.195312	-60.305447
76.171875	-60.943233
77.148438	-61.043461
78.125000	-61.781635
79.101562	-60.808533
80.078125	-60.621719
81.054688	-60.905361
82.031250	-60.612705
83.007812	-60.486927
83.984375	-60.012764
84.960938	-61.597897
85.937500	-61.122932
86.914062	-60.841766
87.890625	-59.997147
88.867188	-61.084286
89.843750	-60.828579
90.820312	-60.274544
91.796875	-60.495800
92.773438	-61.304173
93.750000	-60.890327
94.726562	-59.870472
95.703125	-60.912781
96.679688	-60.991745
97.656250	-61.075466
98.632812	-60.382126
99.609375	-61.342457
100.585938	-61.126953
101.562500	-61.467594
102.539062	-61.260399
103.515625	-60.619667
104.492188	-61.035660
105.468750	-60.724129
106.445312	-60.947136
107.421875	-61.116673
108.398438	-61.126411
109.375000	-60.415234
110.351562	-60.619068
111.328125	-61.096096
112.304688	-61.515507
113.281250	-61.547630
114.257812	-60.716198
115.234375	-60.160480
