Frequency (Hz)	Level (dB)
0.976562	-38.332508
1.953125	-43.532394
2.929688	-41.710125
3.906250	-34.842045
4.882812	-45.602200
5.859375	-45.260998
6.835938	-39.070732
7.812500	-35.624691
8.789062	-45.551441
9.765625	-45.499218
10.742188	-38.227650
11.718750	-40.227711
12.695312	-47.614502
13.671875	-44.585445
14.648438	-40.023418
15.625000	-43.209328
16.601562	-46.990864
17.578125	-44.097454
18.554688	-41.254971
19.531250	-45.156101
20.507812	-46.335934
21.484375	-44.358662
22.460938	-43.494156
23.437500	-46.105774
24.414062	-45.510452
25.390625	-44.350456
26.367188	-44.645576
27.343750	-47.059654
28.320312	-46.623058
29.296875	-45.274040
30.273438	-46.529072
31.250000	-47.769047
32.226562	-47.610840
33.203125	-46.422821
34.179688	-47.409042
35.156250	-47.621239
36.132812	-48.465038
37.109375	-45.983219
38.085938	-48.254524
39.062500	-48.037029
40.039062	-45.968590
41.015625	-46.555435
41.992188	-47.635441
42.968750	-49.691517
43.945312	-48.861446
44.921875	-47.672173
45.898438	-48.200607
46.875000	-49.935345
47.851562	-48.143238
48.828125	-47.537567
49.804688	-49.504528
50.781250	-47.850471
51.757812	-47.471050
52.734375	-46.520916
53.710938	-48.820572
54.687500	-49.273754
55.664062	-47.066936
56.640625	-46.916382
57.617188	-50.816223
58.593750	-50.790283
59.570312	-48.361694
60.546875	-49.465881
61.523438	-51.023048
62.500000	-48.818111
63.476562	-48.322418
64.453125	-50.306107
65.429688	-49.951347
66.406250	-49.398335
67.382812	-48.364151
68.359375	-49.952408
69.335938	-50.560772
70.312500	-49.468876
71.289062	-49.393208
72.265625	-49.424175
73.242188	-49.893494
74.218750	-50.455395
75.195312	-49.670063
76.171875	-51.449234
77.148438	-50.904846
78.125000	-50.676418
79.101562	-49.966476
80.078125	-50.347904
81.054688	-51.019730
82.031250	-50.862049
83.007812	-51.093830
83.984375	-50.269009
84.960938	-51.120319
85.937500	-50.867947
86.914062	-49.720470
87.890625	-49.585136
88.867188	-50.774090
89.843750	-50.011349
90.820312	-50.363434
91.796875	-49.229618
92.773438	-49.487320
93.750000	-48.612720
94.726562	-50.070263
95.703125	-49.866768
96.679688	-50.196545
97.656250	-49.943665
98.632812	-49.748802
99.609375	-50.928768
100.585938	-50.245537
101.562500	-50.621410
102.539062	-50.907326
103.515625	-49.893452
104.492188	-49.658962
105.468750	-50.457016
106.445312	-49.563889
107.421875	-50.127705
108.398438	-49.629898
109.375000	-48.986790
110.351562	-50.775623
111.328125	-49.875420
112.304688	-49.935169
113.281250	-49.313160
114.257812	-49.580185
115.234375	-49.114166
116.210938	-47.306427
117.187500	-50.187550
118.164062	-49.521599
119.140625	-49.654037
120.117188	-49.320465
121.093750	-49.826603
122.070312	-50.186256
123.046875	-49.760426
124.023438	-49.080624
125.000000	-49.384983
125.976562	-50.558121
126.953125	-49.684898
127.929688	-48.367374
128.906250	-49.102161
129.882812	-49.115555
130.859375	-47.637066
131.835938	-47.703697
132.812500	-49.006786
133.789062	-48.580120
134.765625	-47.230492
135.742188	-47.557915
136.718750	-47.607098
137.695312	-47.933617
138.671875	-48.003189
139.648438	-49.998165
140.625000	-48.938725
141.601562	-47.487801
142.578125	-47.514572
143.554688	-49.246441
144.531250	-49.279072
145.507812	-48.480442
146.484375	-46.851822
147.460938	-46.764572
148.437500	-47.462173
149.414062	-47.375374
150.390625	-47.690750
151.367188	-47.447075
152.343750	-46.976318
153.320312	-47.180752
154.296875	-47.046104
155.273438	-46.581215
156.250000	-46.661819
157.226562	-46.352856
158.203125	-46.473045
159.179688	-46.206440
160.156250	-45.934200
161.132812	-46.023266
162.109375	-46.274456
163.085938	-46.028133
164.062500	-46.586590
165.039062	-45.458740
166.015625	-44.126595
166.992188	-44.657314
167.968750	-44.260696
168.945312	-43.128891
169.921875	-44.352787
170.898438	-44.618889
171.875000	-44.999966
172.851562	-43.015667
173.828125	-42.519199
174.804688	-43.794609
175.781250	-39.842052
176.757812	-38.063374
177.734375	-39.829552
178.710938	-37.669670
179.687500	-34.080925
180.664062	-34.211544
181.640625	-37.480507
182.617188	-33.389885
183.593750	-32.183823
184.570312	-36.374317
185.546875	-37.548622
186.523438	-34.377636
187.500000	-33.554447
188.476562	-40.415642
189.453125	-39.161404
190.429688	-35.019718
191.406250	-39.143242
192.382812	-41.034164
193.359375	-38.215107
194.335938	-34.802052
195.312500	-38.796379
196.289062	-41.823910
197.265625	-39.684017
198.242188	-39.585217
199.218750	-40.727215
200.195312	-43.493195
201.171875	-41.794617
202.148438	-42.887703
203.125000	-43.633064
204.101562	-43.583260
205.078125	-43.030113
206.054688	-43.358562
207.031250	-44.061069
208.007812	-44.497208
208.984375	-44.080486
209.960938	-42.620167
210.937500	-45.167068
211.914062	-46.713913
212.890625	-46.250404
213.867188	-45.960087
214.843750	-47.556705
215.820312	-46.396629
216.796875	-46.229656
217.773438	-44.161583
218.750000	-46.629372
219.726562	-46.722305
220.703125	-45.666386
221.679688	-46.507103
222.656250	-46.778507
223.632812	-46.354259
224.609375	-46.598568
225.585938	-47.054085
226.562500	-48.790932
227.539062	-47.885662
228.515625	-48.527756
229.492188	-48.885910
230.468750	-48.227554
231.445312	-48.601719
232.421875	-47.551750
233.398438	-48.332726
234.375000	-48.398350
235.351562	-49.143894
236.328125	-47.476303
237.304688	-48.145008
238.281250	-48.318386
239.257812	-48.744671
240.234375	-48.106804
241.210938	-48.743889
242.187500	-49.221764
243.164062	-48.204758
244.140625	-48.164341
245.117188	-48.126461
246.093750	-49.394547
247.070312	-47.095947
248.046875	-49.128014
249.023438	-48.527081
250.000000	-49.457806
250.976562	-48.954224
251.953125	-47.802616
252.929688	-48.330853
253.906250	-49.054157
254.882812	-47.133221
255.859375	-48.837631
256.835938	-47.735409
257.812500	-50.946617
258.789062	-50.329857
259.765625	-49.445183
260.742188	-50.332256
261.718750	-50.695740
262.695312	-49.677715
263.671875	-49.838264
264.648438	-50.297291
265.625000	-51.322029
266.601562	-50.318996
267.578125	-50.443439
268.554688	-51.026730
269.531250	-51.385216
270.507812	-50.944393
271.484375	-49.812099
272.460938	-49.821709
273.437500	-49.411480
274.414062	-51.414494
275.390625	-50.073689
276.367188	-51.023144
277.343750	-50.703972
278.320312	-49.562016
279.296875	-50.496971
280.273438	-50.593498
281.250000	-49.912132
282.226562	-50.587227
283.203125	-50.763165
284.179688	-50.921215
285.156250	-49.845604
286.132812	-50.306858
287.109375	-50.879108
288.085938	-51.244766
289.062500	-50.195850
290.039062	-50.212921
291.015625	-50.796646
291.992188	-50.628178
292.968750	-51.482548
293.945312	-50.044727
294.921875	-50.165966
295.898438	-50.326759
296.875000	-49.589527
297.851562	-50.181583
298.828125	-50.354637
299.804688	-51.155899
300.781250	-50.035179
301.757812	-49.942436
302.734375	-50.118355
303.710938	-49.948116
304.687500	-50.174282
305.664062	-49.177303
306.640625	-49.913837
307.617188	-49.515579
308.593750	-49.622700
309.570312	-49.603664
310.546875	-49.897198
311.523438	-48.163250
312.500000	-50.032135
313.476562	-49.721046
314.453125	-48.768597
315.429688	-49.359211
316.406250	-49.409569
317.382812	-49.732433
318.359375	-48.828114
319.335938	-48.135715
320.312500	-49.407921
321.289062	-47.937931
322.265625	-47.742928
323.242188	-48.763798
324.218750	-48.781620
325.195312	-47.727982
326.171875	-47.384964
327.148438	-47.741417
328.125000	-47.416637
329.101562	-47.145351
330.078125	-46.730206
331.054688	-47.867348
332.031250	-48.388458
333.007812	-47.306076
333.984375	-46.857655
334.960938	-47.194218
335.937500	-46.259304
336.914062	-46.563919
337.890625	-45.835205
338.867188	-45.715382
339.843750	-46.097340
340.820312	-45.937313
341.796875	-44.807800
342.773438	-45.687992
343.750000	-44.995075
344.726562	-45.153324
345.703125	-45.032726
346.679688	-44.901207
347.656250	-45.202003
348.632812	-45.515377
349.609375	-44.822330
350.585938	-43.684128
351.562500	-44.040676
352.539062	-44.068657
353.515625	-42.133049
354.492188	-41.657139
355.468750	-41.862213
356.445312	-41.977482
357.421875	-41.423313
358.398438	-41.086433
359.375000	-40.404034
360.351562	-39.897858
361.328125	-39.984207
362.304688	-41.796379
363.281250	-42.055046
364.257812	-40.727757
365.234375	-41.170929
366.210938	-42.356686
367.187500	-42.220646
368.164062	-41.731113
369.140625	-43.207859
370.117188	-43.408337
371.093750	-42.915825
372.070312	-42.792850
373.046875	-44.176411
374.023438	-44.316807
375.000000	-43.251442
375.976562	-43.945862
376.953125	-43.913074
377.929688	-45.282009
378.906250	-44.345142
379.882812	-44.231419
380.859375	-45.143566
381.835938	-45.793911
382.812500	-45.383404
383.789062	-45.331310
384.765625	-45.377792
385.742188	-45.966515
386.718750	-45.185970
387.695312	-45.379086
388.671875	-46.570438
389.648438	-45.881840
390.625000	-44.749916
391.601562	-45.845898
392.578125	-46.074711
393.554688	-46.930965
394.531250	-44.509155
395.507812	-46.130939
396.484375	-46.351982
397.460938	-46.690140
398.437500	-45.947861
399.414062	-47.077442
400.390625	-46.251034
401.367188	-46.711540
402.343750	-46.340012
403.320312	-47.966225
404.296875	-48.155167
405.273438	-46.114296
406.250000	-47.096737
407.226562	-48.454567
408.203125	-48.169441
409.179688	-47.948437
410.156250	-47.386219
411.132812	-47.675179
412.109375	-48.184166
413.085938	-47.414658
414.062500	-48.789295
415.039062	-48.115585
416.015625	-46.896809
416.992188	-46.832821
417.968750	-48.259941
418.945312	-49.023090
419.921875	-48.466534
420.898438	-47.433491
421.875000	-48.359974
422.851562	-48.510151
423.828125	-48.187267
424.804688	-48.655121
425.781250	-48.744469
426.757812	-49.147888
427.734375	-47.766785
428.710938	-50.225437
429.687500	-50.058060
430.664062	-49.699463
431.640625	-48.916794
432.617188	-47.546326
433.593750	-49.679932
434.570312	-48.438839
435.546875	-48.734650
436.523438	-50.066376
437.500000	-50.374798
438.476562	-50.524963
439.453125	-50.299809
440.429688	-50.502930
441.406250	-50.427891
442.382812	-49.706390
443.359375	-49.738300
444.335938	-49.934895
445.312500	-50.924896
446.289062	-50.921650
447.265625	-50.839855
448.242188	-51.103397
449.218750	-51.436985
450.195312	-51.350044
451.171875	-51.936348
452.148438	-52.044346
453.125000	-50.688423
454.101562	-50.856506
455.078125	-49.913315
456.054688	-50.085003
457.031250	-50.720695
458.007812	-50.514210
458.984375	-50.408691
459.960938	-51.116608
460.937500	-51.527367
461.914062	-50.879871
462.890625	-50.256660
463.867188	-49.727428
464.843750	-50.837963
465.820312	-50.414101
466.796875	-50.980007
467.773438	-50.149746
468.750000	-51.244720
469.726562	-50.937759
470.703125	-50.712788
471.679688	-50.876015
472.656250	-50.577106
473.632812	-48.878483
474.609375	-49.110802
475.585938	-50.395020
476.562500	-50.029594
477.539062	-49.142780
478.515625	-49.920715
479.492188	-49.952682
480.468750	-49.708488
481.445312	-50.593338
482.421875	-50.164417
483.398438	-50.353554
484.375000	-49.359291
485.351562	-48.583313
486.328125	-49.793549
487.304688	-48.554054
488.281250	-49.277428
489.257812	-49.298813
490.234375	-48.760368
491.210938	-47.837975
492.187500	-48.340237
493.164062	-48.983456
494.140625	-48.339481
495.117188	-45.151218
496.093750	-46.976868
497.070312	-47.904594
498.046875	-46.631924
499.023438	-47.091572
500.000000	-47.176865
500.976562	-48.499344
501.953125	-47.688473
502.929688	-47.749233
503.906250	-47.802120
504.882812	-47.515938
505.859375	-46.704826
506.835938	-46.857639
507.812500	-46.660957
508.789062	-45.896683
509.765625	-46.169708
510.742188	-45.165993
511.718750	-44.889004
512.695312	-44.174919
513.671875	-45.469398
514.648438	-46.101059
515.625000	-45.773438
516.601562	-45.274822
517.578125	-44.495819
518.554688	-44.648109
519.531250	-44.499226
520.507812	-44.107368
521.484375	-43.946964
522.460938	-44.175743
523.437500	-42.609394
524.414062	-43.344368
525.390625	-42.609013
526.367188	-41.313427
527.343750	-42.178711
528.320312	-41.137653
529.296875	-42.519794
530.273438	-42.326004
531.250000	-42.211758
532.226562	-41.236805
533.203125	-41.986137
534.179688	-41.263279
535.156250	-40.292095
536.132812	-40.362995
537.109375	-39.564709
538.085938	-39.104637
539.062500	-38.635025
540.039062	-37.590107
541.015625	-38.723957
541.992188	-38.159340
542.968750	-38.209690
543.945312	-37.373386
544.921875	-37.400787
545.898438	-37.153625
546.875000	-38.114006
547.851562	-38.860401
548.828125	-38.502533
549.804688	-37.513256
550.781250	-39.417328
551.757812	-39.312336
552.734375	-40.091770
553.710938	-40.215752
554.687500	-40.473869
555.664062	-40.691078
556.640625	-39.783157
557.617188	-40.203484
558.593750	-40.744099
559.570312	-40.859425
560.546875	-41.395832
561.523438	-42.283077
562.500000	-42.946991
563.476562	-42.365734
564.453125	-42.598270
565.429688	-42.524166
566.406250	-43.386917
567.382812	-42.817493
568.359375	-42.691849
569.335938	-43.540642
570.312500	-43.692604
571.289062	-43.077473
572.265625	-43.280720
573.242188	-44.247128
574.218750	-44.597954
575.195312	-43.205425
576.171875	-44.550175
577.148438	-44.709515
578.125000	-44.576191
579.101562	-45.019630
580.078125	-45.834213
581.054688	-45.603001
582.031250	-45.363941
583.007812	-43.949665
583.984375	-44.786392
584.960938	-45.928143
585.937500	-45.414501
586.914062	-46.062294
587.890625	-46.479477
588.867188	-46.104328
589.843750	-44.811779
590.820312	-45.796757
591.796875	-46.677315
592.773438	-47.206757
593.750000	-46.393089
594.726562	-47.603722
595.703125	-47.200226
596.679688	-47.668888
597.656250	-46.878242
598.632812	-47.244328
599.609375	-47.515270
600.585938	-46.742355
601.562500	-47.392586
602.539062	-48.010765
603.515625	-49.404442
604.492188	-48.384850
605.468750	-47.076420
606.445312	-48.408714
607.421875	-49.096058
608.398438	-47.229958
609.375000	-47.171600
610.351562	-48.730492
611.328125	-48.916534
612.304688	-47.473701
613.281250	-47.720959
614.257812	-49.235542
615.234375	-48.711643
616.210938	-49.316944
617.187500	-48.055470
618.164062	-49.554474
619.140625	-50.139244
620.117188	-49.722916
621.093750	-49.031380
622.070312	-49.282578
623.046875	-48.810116
624.023438	-49.229187
625.000000	-49.322807
625.976562	-49.600311
626.953125	-47.999039
627.929688	-49.013985
628.906250	-48.996864
629.882812	-49.079426
630.859375	-48.991177
631.835938	-47.673592
632.812500	-50.382408
633.789062	-50.053520
634.765625	-48.107063
635.742188	-49.018501
636.718750	-49.545284
637.695312	-48.344757
638.671875	-47.031326
639.648438	-47.784401
640.625000	-48.677967
641.601562	-47.646343
642.578125	-48.045616
643.554688	-48.321049
644.531250	-48.400158
645.507812	-48.319935
646.484375	-47.536812
647.460938	-48.490391
648.437500	-48.095955
649.414062	-47.097790
650.390625	-47.531715
651.367188	-47.184986
652.343750	-45.852036
653.320312	-47.031212
654.296875	-46.622498
655.273438	-47.561878
656.250000	-47.509834
657.226562	-49.563717
658.203125	-48.952065
659.179688	-47.284054
660.156250	-46.468697
661.132812	-46.902958
662.109375	-47.312946
663.085938	-47.523720
664.062500	-45.303925
665.039062	-45.980164
666.015625	-46.076187
666.992188	-44.116234
667.968750	-45.974129
668.945312	-45.774883
669.921875	-46.316528
670.898438	-44.166725
671.875000	-44.562038
672.851562	-43.775383
673.828125	-43.610821
674.804688	-44.413582
675.781250	-43.679836
676.757812	-44.979465
677.734375	-43.959641
678.710938	-44.061176
679.687500	-42.890213
680.664062	-42.042145
681.640625	-40.940842
682.617188	-42.976337
683.593750	-41.804646
684.570312	-42.418690
685.546875	-41.825321
686.523438	-42.485302
687.500000	-41.799915
688.476562	-42.467693
689.453125	-42.604725
690.429688	-42.585320
691.406250	-41.438438
692.382812	-41.004295
693.359375	-42.884548
694.335938	-39.997322
695.312500	-39.892159
696.289062	-38.444500
697.265625	-39.346382
698.242188	-38.699253
699.218750	-39.278957
700.195312	-38.503967
701.171875	-38.040573
702.148438	-39.075924
703.125000	-38.337540
704.101562	-37.725349
705.078125	-36.603024
706.054688	-36.079243
707.031250	-36.178219
708.007812	-36.019627
708.984375	-34.214138
709.960938	-34.715019
710.937500	-35.007370
711.914062	-33.940746
712.890625	-34.356060
713.867188	-33.503929
714.843750	-32.614906
715.820312	-33.469185
716.796875	-32.503426
717.773438	-32.474476
718.750000	-30.644081
719.726562	-30.757292
720.703125	-32.435970
721.679688	-30.817606
722.656250	-30.126534
723.632812	-30.721323
724.609375	-30.294779
725.585938	-29.881401
726.562500	-30.006046
727.539062	-31.121622
728.515625	-30.930580
729.492188	-29.765570
730.468750	-30.601860
731.445312	-30.646061
732.421875	-31.854544
733.398438	-31.828899
734.375000	-31.767092
735.351562	-31.983044
736.328125	-31.808722
737.304688	-32.625118
738.281250	-33.628143
739.257812	-33.526531
740.234375	-33.362377
741.210938	-34.199978
742.187500	-35.558136
743.164062	-35.400696
744.140625	-35.492840
745.117188	-36.413456
746.093750	-36.159683
747.070312	-36.737469
748.046875	-36.769650
749.023438	-37.858437
750.000000	-36.975620
750.976562	-37.385921
751.953125	-38.098351
752.929688	-38.733486
753.906250	-38.068909
754.882812	-37.430378
755.859375	-38.289906
756.835938	-37.552616
757.812500	-38.794727
758.789062	-38.005779
759.765625	-38.396061
760.742188	-38.686546
761.718750	-38.761471
762.695312	-38.217049
763.671875	-39.154175
764.648438	-39.919865
765.625000	-39.027615
766.601562	-38.189056
767.578125	-39.210682
768.554688	-40.397964
769.531250	-39.550961
770.507812	-39.224754
771.484375	-41.905750
772.460938	-42.084747
773.437500	-42.024002
774.414062	-42.066326
775.390625	-41.839725
776.367188	-43.341511
777.343750	-42.186512
778.320312	-42.449284
779.296875	-43.954544
780.273438	-43.751747
781.250000	-43.108982
782.226562	-41.995697
783.203125	-44.539486
784.179688	-45.190113
785.156250	-44.206425
786.132812	-44.009426
787.109375	-45.149876
788.085938	-44.588161
789.062500	-45.207500
790.039062	-44.835121
791.015625	-46.094284
791.992188	-45.031517
792.968750	-44.209183
793.945312	-45.237675
794.921875	-45.885635
795.898438	-46.092430
796.875000	-45.355118
797.851562	-46.415981
798.828125	-45.250099
799.804688	-44.460098
800.781250	-44.434120
801.757812	-46.042946
802.734375	-45.171551
803.710938	-46.335587
804.687500	-46.273716
805.664062	-46.148907
806.640625	-46.063183
807.617188	-45.861820
808.593750	-44.558830
809.570312	-45.955444
810.546875	-46.934319
811.523438	-47.462769
812.500000	-46.280865
813.476562	-46.270458
814.453125	-46.063278
815.429688	-45.255722
816.406250	-45.199108
817.382812	-45.930637
818.359375	-46.430412
819.335938	-46.019001
820.312500	-46.646076
821.289062	-46.621906
822.265625	-46.301434
823.242188	-45.047485
824.218750	-44.244919
825.195312	-45.534954
826.171875	-44.529736
827.148438	-45.885391
828.125000	-45.805382
829.101562	-44.583817
830.078125	-44.662113
831.054688	-45.745724
832.031250	-43.930000
833.007812	-45.256538
833.984375	-43.039223
834.960938	-43.792240
835.937500	-42.350258
836.914062	-42.531097
837.890625	-41.043304
838.867188	-41.185051
839.843750	-42.136284
840.820312	-41.156796
841.796875	-40.738205
842.773438	-42.311333
843.750000	-42.615322
844.726562	-40.727009
845.703125	-39.846760
846.679688	-38.583118
847.656250	-38.503704
848.632812	-38.576618
849.609375	-38.375038
850.585938	-37.578526
851.562500	-35.832222
852.539062	-37.860580
853.515625	-34.993534
854.492188	-36.530285
855.468750	-33.463272
856.445312	-33.064331
857.421875	-32.100521
858.398438	-31.359367
859.375000	-32.109726
860.351562	-31.883110
861.328125	-30.591871
862.304688	-27.759733
863.281250	-30.514048
864.257812	-30.798203
865.234375	-28.903349
866.210938	-30.739351
867.187500	-26.753990
868.164062	-31.711880
869.140625	-28.539351
870.117188	-25.728584
871.093750	-29.152662
872.070312	-26.266884
873.046875	-29.432512
874.023438	-28.950775
875.000000	-26.745409
875.976562	-25.809322
876.953125	-26.636879
877.929688	-28.785200
878.906250	-29.012295
879.882812	-27.272654
880.859375	-24.911283
881.835938	-24.006498
882.812500	-25.350206
883.789062	-26.076803
884.765625	-22.660200
885.742188	-22.660978
886.718750	-22.268417
887.695312	-21.757223
888.671875	-21.792303
889.648438	-23.198111
890.625000	-22.214689
891.601562	-22.698063
892.578125	-20.863424
893.554688	-21.043264
894.531250	-21.088675
895.507812	-21.912373
896.484375	-21.986910
897.460938	-21.354317
898.437500	-20.616299
899.414062	-20.866875
900.390625	-21.119396
901.367188	-20.943836
902.343750	-20.823633
903.320312	-19.923803
904.296875	-20.746239
905.273438	-20.371834
906.250000	-20.274786
907.226562	-19.571066
908.203125	-19.840904
909.179688	-17.893423
910.156250	-19.740660
911.132812	-18.481081
912.109375	-19.986372
913.085938	-19.049305
914.062500	-20.203646
915.039062	-19.687750
916.015625	-20.313372
916.992188	-19.967962
917.968750	-20.481075
918.945312	-19.563255
919.921875	-20.059050
