Frequency (Hz)	Level (dB)
0.976562	-71.271057
1.953125	-68.478142
2.929688	-67.295898
3.906250	-63.007633
4.882812	-64.247437
5.859375	-63.874763
6.835938	-64.181587
7.812500	-61.906521
8.789062	-64.329277
9.765625	-62.198685
10.742188	-60.211498
11.718750	-63.380569
12.695312	-65.730568
13.671875	-69.955460
14.648438	-69.467453
15.625000	-72.474869
16.601562	-74.450699
17.578125	-75.114326
18.554688	-70.772026
19.531250	-74.987579
20.507812	-73.893295
21.484375	-64.039368
22.460938	-67.197998
23.437500	-67.671539
24.414062	-72.956657
25.390625	-75.489807
26.367188	-70.538567
27.343750	-80.607201
28.320312	-78.214294
29.296875	-79.487175
30.273438	-80.831902
31.250000	-82.420525
32.226562	-80.725060
33.203125	-79.033539
34.179688	-81.985451
35.156250	-83.442886
36.132812	-84.907639
37.109375	-84.621414
38.085938	-83.972351
39.062500	-84.574219
40.039062	-85.260017
41.015625	-84.996712
41.992188	-83.271553
42.968750	-81.937691
43.945312	-72.834755
44.921875	-84.046997
45.898438	-84.848572
46.875000	-79.432457
47.851562	-83.608734
48.828125	-86.069199
49.804688	-86.957626
50.781250	-85.849777
51.757812	-84.952171
52.734375	-81.813065
53.710938	-87.166573
54.687500	-86.281258
55.664062	-84.877945
56.640625	-86.169800
57.617188	-84.477905
58.593750	-84.076447
59.570312	-86.522926
60.546875	-87.442009
61.523438	-87.386490
62.500000	-86.831032
63.476562	-86.442810
64.453125	-84.732094
65.429688	-82.877632
66.406250	-82.632042
67.382812	-83.962944
68.359375	-85.088547
69.335938	-83.685165
70.312500	-83.495552
71.289062	-83.460625
72.265625	-83.752769
73.242188	-82.463173
74.218750	-82.993980
75.195312	-82.715263
76.171875	-81.152527
77.148438	-80.001663
78.125000	-76.310936
79.101562	-71.512138
80.078125	-81.062012
81.054688	-81.400307
82.031250	-80.478630
83.007812	-78.924171
83.984375	-76.524796
84.960938	-76.813950
85.937500	-79.177086
86.914062	-77.212944
87.890625	-77.411263
88.867188	-76.935028
89.843750	-76.428436
90.820312	-78.876831
91.796875	-79.913506
92.773438	-78.421341
93.750000	-75.562363
94.726562	-75.266006
95.703125	-77.715118
96.679688	-79.223961
97.656250	-78.520546
98.632812	-72.400078
99.609375	-77.071732
100.585938	-77.972275
101.562500	-77.194405
102.539062	-77.162277
103.515625	-79.595566
104.492188	-77.602409
105.468750	-72.825630
106.445312	-78.986305
107.421875	-78.482742
108.398438	-81.057159
109.375000	-80.476143
110.351562	-80.915482
111.328125	-82.573753
112.304688	-82.105171
113.281250	-81.185989
114.257812	-81.489136
115.234375	-84.204796
116.210938	-84.723404
117.187500	-84.460899
118.164062	-82.887810
119.140625	-83.261116
120.117188	-84.643867
121.093750	-85.001846
122.070312	-84.383896
123.046875	-85.695358
124.023438	-86.664452
125.000000	-87.139977
125.976562	-87.194580
126.953125	-86.365944
127.929688	-87.167549
128.906250	-88.203491
129.882812	-88.376877
130.859375	-87.013313
131.835938	-84.777130
132.812500	-87.987251
133.789062	-87.856514
134.765625	-88.245499
135.742188	-89.121513
136.718750	-89.248619
137.695312	-89.286514
138.671875	-88.576996
139.648438	-88.486687
140.625000	-88.072762
141.601562	-88.425224
142.578125	-89.006927
143.554688	-89.405296
144.531250	-89.639359
145.507812	-89.411369
146.484375	-89.946312
147.460938	-89.240730
148.437500	-88.884781
149.414062	-89.367920
150.390625	-89.449249
151.367188	-88.895615
152.343750	-89.895355
153.320312	-89.373611
154.296875	-88.923355
155.273438	-88.717987
156.250000	-90.119675
157.226562	-90.175903
158.203125	-90.112663
159.179688	-89.988457
160.156250	-89.149765
161.132812	-89.270233
162.109375	-89.211479
163.085938	-90.429428
164.062500	-89.446884
165.039062	-88.604370
166.015625	-88.018867
166.992188	-88.457169
167.968750	-88.149368
168.945312	-88.758759
169.921875	-88.971375
170.898438	-88.560104
171.875000	-88.195953
172.851562	-87.634987
173.828125	-87.969650
174.804688	-87.697876
175.781250	-87.304619
176.757812	-86.867714
177.734375	-83.760788
178.710938	-86.604156
179.687500	-87.736542
180.664062	-86.133720
181.640625	-86.917618
182.617188	-88.697136
183.593750	-87.711655
184.570312	-87.212944
185.546875	-86.259987
186.523438	-86.184769
